name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Fred Iruafemi,1.9811999999999999,92.988,Forward,29,6.5,12.9,0.9,1.9,0.505,0.9,1.9,0.507,0,0,0,0.4,0.7,0.641,0.6,0.5,1,2.3,1,1.7,2.6,0.6,4,2015,2018,FALSE
Zak Irvin,1.9811999999999999,97.524,Guard,35.5,26,29.7,4.2,10,0.423,2.5,5.2,0.488,1.7,4.8,0.354,1.2,1.8,0.679,2,0.7,0.1,11.3,0.6,3.1,3.7,1.4,4,2014,2017,FALSE
D.J. Irving,1.8288,74.844,Guard,32,30,32.2,3.6,9,0.4,2.3,5.3,0.427,1.3,3.7,0.36,2.9,3.7,0.779,3.7,1.1,0.1,11.4,0.6,2.5,3.1,2.2,4,2011,2014,FALSE
Kyrie Irving,1.8796,81.648,Guard,11,8,27.5,5,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.901,4.3,1.5,0.5,17.5,0.5,2.8,3.4,2.5,1,2011,2011,TRUE
Martavious Irving,1.8541999999999998,90.72,Guard,32.5,4.25,16.3,1.5,3.7,0.392,0.9,2,0.425,0.6,1.7,0.353,0.5,0.9,0.628,1.3,0.6,0,4.1,0.3,1,1.4,0.8,4,2010,2013,FALSE
Bryant Irwin,2.0065999999999997,99.792,Forward,24.2,6,17.7,1.9,5.3,0.36,1.1,2.5,0.435,0.8,2.8,0.291,0.7,1.1,0.636,0.4,0.3,0.3,5.3,0.9,1.6,2.5,0.8,5,2009,2013,FALSE
Logan Irwin,1.778,77.112,Guard,7,7,21.7,1.6,2.1,0.733,0.9,1.1,0.75,0.7,1,0.714,2,2.3,0.875,2.9,0.3,0,5.9,0.1,1.6,1.7,1.9,1,2013,2013,FALSE
John  Isaac,1.905,94.3488,Guard,31,2,14.2,1,2.9,0.337,0.7,2,0.361,0.3,0.9,0.286,0.5,0.7,0.762,1.1,0.2,0.1,2.7,0.3,0.9,1.2,1,1,2012,2012,FALSE
Jonathan Isaac,2.0827999999999998,95.256,Forward,32,32,26.2,4.1,8,0.508,3.1,5.2,0.593,1,2.8,0.348,2.9,3.7,0.78,1.2,1.2,1.5,12,1.8,6.1,7.8,1.5,1,2017,2017,TRUE
Tramaine Isabell,1.8541999999999998,81.648,Guard,23.6,11.2,25.1,3.9,9.3,0.42,2.8,5.8,0.482,1.1,3.5,0.32,2.5,3.4,0.743,2.5,1,0,11.5,0.7,3,3.7,2.2,5,2015,2019,FALSE
Aleksandar Isailovic,1.9304,83.916,Guard,27.5,8.5,16.1,1.1,3.7,0.302,0.3,0.8,0.419,0.8,2.9,0.27,0.3,0.4,0.8,0.5,0.6,0.2,3.3,0.3,1.2,1.5,0.5,2,2013,2014,FALSE
DeAngelo Isby,1.9558,90.72,Guard,28,5,18.6,2.8,6.7,0.422,2,3.9,0.523,0.8,2.8,0.282,2,2.5,0.797,1.1,0.5,0.1,8.4,0.8,2,2.9,1.5,1,2018,2018,FALSE
Jack Isenbarger,1.8796,81.648,Guard,30.5,14.75,27.5,3.7,9.4,0.389,1.5,3.5,0.427,2.2,5.9,0.366,2.3,2.7,0.842,2.4,0.7,0,11.8,0.5,2.6,3.1,1.7,4,2011,2014,FALSE
