name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Jordan Aaberg,2.0574,102.06,Forward,28.75,4,11.2,1.5,2.3,0.619,1.5,2.3,0.619,0,0,0,0.6,0.7,0.788,0.2,0.2,0.8,3.5,0.7,1.6,2.3,0.6,4,2010,2014,FALSE
Mike Aaman,2.032,95.256,Forward,21.4,11,19,3.1,6.5,0.473,3.1,6.5,0.474,0,0,0,1.8,2.8,0.641,0.4,0.5,0.7,7.9,2.5,3.2,5.7,1.2,5,2013,2017,FALSE
Jordan Aaron,1.778,72.576,Guard,31.5,30,34.3,4.6,12.3,0.373,2.4,6,0.402,2.1,6.2,0.344,3.3,3.9,0.838,3.3,1.2,0.1,14.6,0.4,2.9,3.3,3,2,2013,2014,FALSE
Shaqquan Aaron,2.0065999999999997,88.452,Guard,25.4,13,18.8,2.1,5,0.417,1.3,2.8,0.483,0.7,2.2,0.335,0.8,1.3,0.624,1.2,0.4,0.2,5.7,0.6,2.1,2.7,1,5,2015,2019,FALSE
Joe Aase,2.032,99.792,Forward,24,0,6.3,0.3,1,0.333,0.2,0.5,0.385,0.1,0.5,0.273,0,0.1,0.5,0.2,0.1,0.1,0.8,0.1,0.8,1,0.2,1,2014,2014,FALSE
Ronell Abaekobe,1.9811999999999999,95.256,Guard,7,0,1.4,0.1,0.1,1,0.1,0.1,1,0,0,0,0.3,0.6,0.5,0,0,0,0.6,0,0,0,0,1,2013,2013,FALSE
Kwesi Abakah,2.032,96.1632,Forward,27.25,2.75,7.6,0.3,0.8,0.422,0.3,0.8,0.422,0,0,0,0.3,0.6,0.429,0.3,0.1,0.2,0.9,0.5,0.8,1.3,0.3,4,2014,2017,FALSE
Ty Abbott,1.905,93.8952,Guard,32.5,29.75,30.9,3.5,8.8,0.399,1.4,2.9,0.475,2.1,5.8,0.361,1.1,1.6,0.7,1.8,1,0.4,10.2,0.6,3.3,3.9,1.5,4,2008,2011,FALSE
Huthifah Abdel Jawad,1.8288,72.576,Guard,10,0,1.4,0,0.2,0,0,0.2,0,0,0,0,0.1,0.2,0.5,0.1,0,0,0.1,0,0.1,0.1,0.1,1,2019,2019,FALSE
Mostafa Abdel Latif,2.032,104.328,Forward,28,9,15.2,1.5,3,0.482,1.5,3,0.482,0,0,0,0.5,0.8,0.587,0.2,0.2,0.5,3.4,1.6,2.8,4.4,0.7,2,2013,2014,FALSE
Salah Abdo,1.8796,85.2768,Guard,5,0,2.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,2012,2012,FALSE
Muhammad Abdul-Aleem,1.9304,95.256,Guard,25,1.5,17.7,2.5,6.9,0.369,2,5,0.403,0.5,1.9,0.281,1.7,2.7,0.632,1,0.9,0.1,7.3,0.9,2.6,3.5,1.9,2,2013,2014,FALSE
Musa Abdul-Aleem,1.9558,99.792,Guard,18.333333333333332,7.666666666666667,20.7,3.4,8.4,0.4,1.7,3.4,0.487,1.7,5,0.339,1.6,2.1,0.779,0.6,0.8,0.1,10,0.6,2.6,3.2,1.2,3,2013,2015,FALSE
Jalil Abdul-Bassit,1.9304,84.8232,Guard,26,9.5,15.5,2.1,5,0.421,0.8,2.1,0.411,1.3,3,0.429,0.7,0.9,0.739,0.6,0.5,0.2,6.2,0.4,1,1.3,0.8,2,2014,2015,FALSE
Mustafa Abdul-Hamid,1.8796,88.452,Guard,12.25,0.25,6.1,0.6,1.3,0.46,0.3,0.5,0.654,0.2,0.8,0.324,0.1,0.2,0.444,0.6,0.1,0,1.5,0.1,0.3,0.4,0.4,4,2007,2010,FALSE
Ahmad Abdullah,1.8288,79.38,Guard,21.25,13,25.8,2.2,5.8,0.382,1.4,3.7,0.395,0.8,2.1,0.359,1.3,1.7,0.764,2.3,0.6,0,6.5,0.4,2,2.4,1.5,4,2013,2016,FALSE
Hasan Abdullah,1.8288,88.452,Guard,25.5,22.5,26.9,3.1,8.3,0.377,1.9,4.4,0.427,1.3,4,0.323,1.2,1.9,0.631,3.4,1.8,0.1,8.8,0.4,2.5,3,2.7,4,2016,2019,FALSE
Jordan Abdur-Ra'oof,2.0065999999999997,92.988,Forward,22.666666666666668,8.666666666666666,11.5,1,2.9,0.335,0.6,1.5,0.39,0.4,1.4,0.277,0.3,0.6,0.513,0.4,0.4,0.2,2.6,0.4,1.3,1.7,0.4,3,2015,2018,FALSE
Bilal Abdur-Rahim,2.0065999999999997,90.72,Guard,26,1,12,1.8,3.3,0.535,1.7,3,0.558,0.1,0.3,0.333,0.9,1.7,0.558,0.9,0.5,0,4.6,0.9,1.7,2.6,0.8,1,2017,2017,FALSE
Muhammad-Ali Abdur-Rahkman,1.9304,79.38,Guard,36,29,28.8,3.2,7.3,0.444,2.1,4.3,0.499,1.1,3,0.366,1.5,2,0.754,2,0.8,0.1,9.1,0.6,2.3,2.8,0.9,4,2015,2018,FALSE
Toso Abedamowo,1.9558,86.184,Guard,3.5,0,1.9,0.1,0.4,0.333,0,0,0,0.1,0.4,0.333,0.1,0.3,0.5,0,0.3,0,0.6,0,0.1,0.1,0.1,2,2010,2011,FALSE
Martins Abele,2.159,133.812,Center,16.333333333333332,4.666666666666667,11.4,1.4,2.8,0.504,1.4,2.8,0.504,0,0,0,0.8,1.3,0.578,0.1,0.2,0.8,3.6,1.3,2.1,3.4,1.3,3,2011,2013,FALSE
Remy Abell,1.9304,88.452,Guard,27.8,13.6,18.5,1.8,4,0.452,1.2,2.4,0.486,0.6,1.6,0.401,1.3,1.7,0.754,1,0.4,0,5.5,0.4,1.1,1.5,0.8,5,2012,2016,FALSE
Onyekawtuke Abiakam,2.0065999999999997,88.452,Center,19.333333333333332,4,14.1,1.3,2.6,0.497,1.3,2.6,0.497,0,0,0,0.4,0.8,0.468,0.3,0.3,1.1,2.9,1.1,2.2,3.2,0.7,3,2008,2010,FALSE
Kazembe Abif,2.0065999999999997,97.524,Forward,23.25,12,22.4,2.2,4.5,0.476,2.1,4.4,0.489,0,0.2,0.133,1.6,2.4,0.655,0.5,0.4,0.3,5.9,1.5,3.2,4.7,0.9,4,2012,2016,FALSE
Charles Abouo,1.9558,97.524,Guard,35.25,15,17.9,2.1,4.9,0.433,1.5,3.2,0.477,0.6,1.7,0.352,1.6,2.2,0.725,1.2,0.7,0.2,6.5,1.3,2.8,4,1.1,4,2009,2012,FALSE
Karon Abraham,1.7526,68.04,Guard,29,22,26.9,3.9,9.3,0.419,1.4,3.6,0.396,2.5,5.7,0.434,3.4,4.1,0.851,1.4,0.9,0.2,13.7,0.6,1.7,2.3,1.9,2,2010,2011,FALSE
Ryann Abraham,1.778,83.916,Guard,23.8,6,16.9,1.9,4.4,0.44,1,2.1,0.486,0.9,2.3,0.397,1.2,1.6,0.725,2,1,0.1,5.9,0.2,1.1,1.3,1.7,5,2006,2010,FALSE
Trevan Abraham,1.7526,78.4728,Guard,30,11,9.4,0.4,1.5,0.239,0.3,0.8,0.333,0.1,0.7,0.136,0.3,0.3,0.9,1.2,0.2,0,1.1,0.1,0.6,0.7,0.5,1,2011,2011,FALSE
Albert Abrahams,2.0574,145.152,Center,29.5,7.5,15.5,2.7,5.2,0.516,2.7,5.2,0.516,0,0,0,1.1,1.9,0.57,0.4,0.3,0.5,6.4,1.5,2.6,4.1,1.1,2,2010,2011,FALSE
Kale Abrahamson,2.032,100.2456,Forward,23.6,10.8,18,2,5.3,0.376,0.9,2,0.44,1.1,3.3,0.338,1,1.6,0.62,0.5,0.2,0.1,6.1,0.5,1.8,2.3,0.8,5,2013,2017,FALSE
DeAndre Abram,2.032,95.256,Guard,20.4,12.6,25,3.3,8.9,0.372,1.9,4.4,0.436,1.4,4.4,0.308,1.1,1.5,0.696,0.6,0.5,0.6,9,1.1,4,5,1.1,5,2016,2020,FALSE
Aleks Abrams,2.032,113.4,Forward,22,4.2,10.5,0.6,1.4,0.399,0.6,1.4,0.399,0,0,0,0.5,0.8,0.619,0.2,0.1,0.5,1.6,1.6,1.8,3.4,0.5,5,2015,2019,FALSE
Jamar Abrams,1.9811999999999999,92.988,Guard,31,22,24.5,3.2,6.9,0.459,1.8,3.3,0.535,1.4,3.6,0.389,1.2,1.5,0.766,0.6,0.7,0.4,9,1.3,2.8,4.1,1.4,4,2008,2011,FALSE
Tracy Abrams,1.8796,83.916,Guard,34.5,28.75,26.1,2.9,7.5,0.383,2,4.7,0.425,0.9,2.8,0.313,2,2.7,0.737,2.7,1,0.1,8.6,0.5,2.5,3.1,1.8,4,2012,2017,FALSE
Alex Abreu,1.8034,79.38,Guard,32,24.666666666666668,26.4,2.7,6.5,0.415,1.4,3.2,0.429,1.3,3.3,0.401,2,2.5,0.791,4.7,1.4,0.1,8.7,0.6,1.7,2.3,2.6,3,2011,2013,FALSE
Alvin Abreu,1.8796,88.452,Guard,23.4,20.4,32.9,4.5,12.1,0.371,2.7,6.6,0.406,1.8,5.6,0.329,2.5,3.4,0.747,1.9,0.9,0.2,13.4,0.9,2.5,3.4,2.3,5,2008,2012,FALSE
Tim Abromaitis,2.032,107.0496,Forward,20.75,15.5,28.7,4.4,9.5,0.465,2.5,4.8,0.517,1.9,4.7,0.41,2.9,3.5,0.834,1.5,0.5,0.3,13.7,1.1,3.7,4.8,1.3,4,2008,2012,FALSE
Devonta Abron,2.032,115.668,Forward,29.5,10.5,14.7,1.7,3.7,0.464,1.7,3.7,0.465,0,0,0,1.8,3,0.613,0.4,0.6,0.4,5.3,1.8,2.3,4.1,0.9,4,2012,2016,FALSE
Tim Abruzzo,1.905,78.4728,Guard,22.333333333333332,2,16.5,1.9,5.4,0.341,0.8,1.7,0.461,1.1,3.7,0.285,0.7,1,0.697,0.8,0.8,0.2,5.4,0.6,2.2,2.8,0.7,3,2014,2017,FALSE
Drew Absher,1.778,77.112,Guard,10.5,0.25,4.2,0.4,1.1,0.34,0.2,0.4,0.467,0.2,0.8,0.281,0.3,0.4,0.765,0.4,0,0,1.3,0,0.4,0.4,0.4,4,2011,2014,FALSE
Taylor Abt,2.032,102.06,Forward,28.25,7,12,1,2,0.481,0.8,1.5,0.554,0.2,0.6,0.292,0.3,0.6,0.429,0.1,0.2,0.4,2.4,1,1.4,2.3,0.6,4,2012,2015,FALSE
Abdul-Malik Abu,2.032,106.596,Forward,32,25,22.9,3.6,7.3,0.495,3.6,7.1,0.503,0,0.1,0.105,1.9,3.1,0.628,0.9,0.3,0.6,9.2,2.3,3.8,6.1,1.4,4,2015,2018,FALSE
Mohamed Abuarisha,2.0065999999999997,90.72,Guard,10,0,3.4,0.4,1.2,0.292,0.2,0.6,0.333,0.2,0.6,0.25,0,0.1,0,0.2,0.1,0,0.9,0.1,0.4,0.5,0.5,2,2017,2018,FALSE
Joey Accaoui,1.7271999999999998,74.844,Guard,31.5,4.75,19.3,2.4,5.7,0.42,1.4,2.8,0.482,1,2.9,0.36,0.8,1.1,0.799,1.3,0.4,0,6.7,0.2,1,1.3,1.1,4,2008,2011,FALSE
God'sgift Achiuwa,2.032,104.328,Forward,32,10.5,19.5,2.2,4,0.541,2.1,3.9,0.552,0,0.1,0.143,1.6,2.6,0.611,0.2,0.3,0.8,5.9,1.9,2.1,4,1,2,2012,2014,FALSE
Precious Achiuwa,2.0574,102.06,Forward,31,31,30.4,5.9,11.9,0.493,5.5,10.6,0.514,0.4,1.3,0.325,3.6,6,0.599,1,1.1,1.9,15.8,3,7.8,10.8,2.8,1,2020,2020,TRUE
Maurice Acker,1.7271999999999998,74.844,Guard,26,10.8,22.2,2,5.2,0.383,1,2.7,0.384,1,2.5,0.382,1.3,1.7,0.767,2.9,1,0,6.2,0.3,1.3,1.6,1.4,5,2006,2010,FALSE
Patrick Ackerman,2.0827999999999998,98.8848,Center,14,2,7.3,0.5,1,0.448,0.5,1,0.448,0,0,0,0.1,0.1,0.625,0,0.1,0.3,1,0.1,0.7,0.8,0.3,4,2012,2015,FALSE
Nikko Acosta,2.032,99.792,Forward,19.75,4,8.7,0.6,1.5,0.383,0.6,1.5,0.383,0,0,0,0.5,0.9,0.543,0.3,0.2,0.6,1.6,0.6,0.9,1.5,0.6,4,2010,2013,FALSE
Kris Acox,1.9811999999999999,97.524,Forward,29.5,25.25,25.7,3.8,6.2,0.613,3.8,6.2,0.614,0,0,0,1.3,2.5,0.522,0.7,0.8,0.5,8.9,2.6,4.1,6.7,1.5,4,2014,2017,FALSE
Milan Acquaah,1.905,88.452,Guard,30.666666666666668,23.333333333333332,27.5,4.6,11.7,0.394,2.9,6.8,0.436,1.7,4.9,0.336,3.2,4,0.802,3.7,1,0.1,14.1,0.5,3.5,3.9,3.2,3,2018,2020,FALSE
Jo Acuil,2.1336,95.256,Forward,34,34,28.5,4.7,8.9,0.527,4.5,8.3,0.544,0.2,0.7,0.311,1.9,3.1,0.612,0.6,0.4,2.2,11.5,2.5,5.1,7.6,1.6,2,2017,2018,FALSE
Quincy Acy,2.0065999999999997,106.596,Forward,34.75,16.5,25.1,3.6,6,0.602,3.6,6,0.604,0,0.1,0.429,2.5,3.6,0.708,0.6,0.7,1.3,9.8,2.2,3.8,6,1.5,4,2009,2012,TRUE
Manny Adako,2.032,115.2144,Forward,31.5,29.25,27.1,4.1,7.6,0.541,4.1,7.6,0.542,0,0.1,0.286,1.3,1.8,0.744,0.8,0.5,0.5,9.6,1.3,2.9,4.3,1.5,4,2007,2010,FALSE
Arnaud William Adala Moto,1.9811999999999999,102.06,Forward,26,18.6,22.7,3.2,7.4,0.428,2.9,6.4,0.458,0.3,1.1,0.248,3.3,4.7,0.696,1,0.7,0.2,9.9,1.9,4.2,6,1.9,5,2013,2017,FALSE
Adama Adams,1.8541999999999998,81.648,Guard,27.5,17,26.6,3,7.7,0.384,2,4.7,0.43,0.9,3,0.313,2.3,3.1,0.754,2.7,0.7,0.1,9.2,0.4,2,2.3,3,2,2013,2014,FALSE
Ako Adams,1.905,79.38,Guard,32.25,23,23.9,2.6,7,0.372,0.9,2.2,0.387,1.8,4.8,0.365,1.7,2,0.862,2.3,0.5,0,8.8,0.2,1.8,1.9,1.8,4,2017,2020,FALSE
Austin Adams,2.0065999999999997,99.792,Forward,9,0,1.9,0.3,0.9,0.313,0.2,0.3,0.5,0.1,0.6,0.2,0.2,0.3,0.5,0.1,0.1,0.1,0.8,0.1,0.4,0.5,0.3,2,2013,2014,FALSE
Chad Adams,1.9811999999999999,86.184,Guard,32,3.75,11.3,1.1,2.3,0.468,0.8,1.6,0.486,0.3,0.7,0.425,0.6,0.9,0.735,0.5,0.4,0.1,3.1,0.5,1.4,1.9,0.5,4,2010,2013,FALSE
Christian Adams,1.905,86.184,Guard,17.333333333333332,4,10.3,0.5,1.8,0.304,0.5,1.4,0.338,0.1,0.4,0.19,0.4,0.6,0.636,0.5,0.3,0.1,1.6,0.2,1,1.1,0.9,3,2016,2018,FALSE
Dionte Adams,2.0065999999999997,97.524,Forward,22.25,5.25,11.5,1,2.1,0.45,1,2.1,0.457,0,0,0,0.6,1,0.635,0.3,0.3,0.6,2.5,1.2,1.8,3,0.5,4,2013,2016,FALSE
Dustin Adams,2.0065999999999997,102.06,Forward,11.5,0,2.8,0.3,0.7,0.4,0.3,0.7,0.4,0,0,0,0.3,0.3,0.75,0,0,0.1,0.8,0.4,0.3,0.7,0.1,2,2013,2014,FALSE
Garrius Adams,1.9811999999999999,90.72,Guard,30,17.5,24.8,2.2,5.9,0.369,1.3,2.9,0.448,0.9,3,0.292,1.5,2.2,0.663,1.6,0.9,0.2,6.7,0.8,2.5,3.3,1.3,4,2010,2014,FALSE
Jalen Adams,1.905,88.452,Guard,31,24.75,31.5,5.3,11.9,0.443,4.2,8.6,0.485,1.1,3.4,0.334,2.1,2.5,0.824,4.1,1.2,0.3,13.8,0.8,2.9,3.7,2.6,4,2016,2019,FALSE
Jamie Adams,1.778,75.2976,Guard,31,29.5,30.4,4.7,12.8,0.369,2.6,6.4,0.406,2.1,6.5,0.332,4,5.2,0.782,3.4,1.7,0,15.6,0.4,1.9,2.3,3.3,2,2013,2014,FALSE
Jaylen Adams,1.8541999999999998,81.648,Guard,27.5,27,36.3,4.8,11.3,0.427,2.4,5.1,0.467,2.5,6.2,0.394,5.3,6.3,0.838,5.4,1.5,0.2,17.4,0.5,2.8,3.4,2.9,4,2015,2018,FALSE
Jeremy Adams,1.9558,99.792,Guard,25.666666666666668,2.6666666666666665,12.1,0.9,2.7,0.338,0.7,2,0.361,0.2,0.7,0.269,1.1,1.7,0.649,0.3,0.3,0,3.1,0.6,1.1,1.6,0.8,3,2012,2014,FALSE
John Adams,1.9811999999999999,102.06,Forward,24.5,4.5,13.4,1.1,2.5,0.429,0.7,1.6,0.468,0.3,0.9,0.363,0.6,0.9,0.678,0.4,0.4,0.2,3.1,0.7,2,2.6,0.8,4,2009,2012,FALSE
Jordan Adams,1.9558,99.792,Guard,34.5,31.5,30.2,5.4,11.6,0.467,4,7.3,0.548,1.4,4.3,0.331,4.2,5,0.839,2.1,2.4,0.2,16.4,1.3,3.3,4.6,1.4,2,2013,2014,TRUE
Josh Adams,1.8796,83.916,Guard,32.75,30.25,32.8,4.4,10.2,0.434,3,5.8,0.512,1.4,4.4,0.33,3.6,4.7,0.76,3,1.1,0.3,13.9,0.5,2.8,3.3,2.5,4,2013,2016,FALSE
Louis Adams,1.9304,83.916,Guard,32.5,9.5,16.9,2.6,5.6,0.457,2,4,0.496,0.6,1.6,0.356,2.9,4,0.729,1.2,0.5,0.2,8.6,0.5,2.1,2.6,1.6,2,2017,2018,FALSE
Luke Adams,1.7526,77.112,Guard,16,2,9.4,0.5,1.7,0.294,0.1,0.5,0.172,0.4,1.3,0.338,0.7,0.8,0.792,0.7,0.4,0,2.1,0.1,0.5,0.6,0.8,4,2012,2015,FALSE
Marlon Adams,1.9811999999999999,99.792,Forward,26.5,6,16.1,1.7,3.8,0.442,1.4,2.7,0.5,0.3,1,0.291,0.3,1,0.333,0.5,0.3,0.3,4,1.2,2.5,3.6,1.1,2,2017,2020,FALSE
Michael Adams,1.8796,91.6272,Guard,6.5,0.5,2,0.2,0.6,0.375,0.1,0.2,0.5,0.2,0.5,0.333,0.2,0.2,1,0.2,0,0.1,0.8,0.2,0.2,0.4,0.1,2,2015,2016,FALSE
Rio Adams,1.905,86.184,Guard,24,0,3.5,0.4,1,0.4,0.3,0.8,0.4,0.1,0.2,0.4,0.2,0.5,0.385,0.3,0.3,0,1.1,0.1,0.1,0.3,0.5,1,2013,2013,FALSE
Shaun Adams,1.9811999999999999,86.184,Forward,15.5,3,3.9,0.3,1.1,0.286,0.2,0.6,0.316,0.1,0.5,0.25,0.5,0.7,0.714,0.2,0.2,0.3,1.3,0.4,0.6,1,0.3,2,2010,2011,FALSE
Stephaun Adams,1.905,79.8336,Guard,20.5,2.5,14.5,0.9,2.9,0.308,0.6,1.8,0.319,0.3,1.2,0.292,1,1.4,0.714,1.9,0.7,0,3.1,0.5,2.1,2.6,1.2,2,2017,2018,FALSE
Steven Adams,2.1336,113.4,Center,32,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,0,1,2.2,0.443,0.6,0.7,2,7.2,2.8,3.5,6.3,1.1,1,2013,2013,TRUE
Taj Adams,2.0065999999999997,81.648,Forward,1,0,10,0,0,0,0,0,0,0,0,0,1,4,0.25,0,0,0,1,0,1,1,2,1,2013,2013,FALSE
Tremell Adams,1.8796,90.72,Guard,20,4,13,2.4,5.8,0.405,0.9,1.9,0.459,1.5,4,0.38,1.1,1.3,0.846,0.6,0.5,0,7.3,1,1.1,2,1.2,1,2011,2011,FALSE
Tyler Adams,2.0574,115.2144,Center,2.5,0.5,4.8,1,2,0.5,1,2,0.5,0,0,0,0.4,0.4,1,0.2,0,0.6,2.4,0.8,1,1.8,0.4,2,2012,2015,FALSE
Tyrel Adams,2.0574,113.4,Center,31,22.5,12.7,0.8,2.1,0.369,0.8,2.1,0.375,0,0,0,0.5,0.9,0.566,0.2,0.1,0.3,2,0.6,1,1.6,0.7,2,2009,2010,FALSE
Vic Adams,1.905,74.844,Guard,5,0,13.4,1.8,5,0.36,1,2,0.5,0.8,3,0.267,1.2,1.4,0.857,1,1,0,5.6,0.4,0.8,1.2,1.8,1,2014,2014,FALSE
Xavier Adams,1.9304,92.988,Guard,25.666666666666668,4.666666666666667,12.8,1.3,2.8,0.467,1.1,2,0.565,0.2,0.8,0.217,1.2,1.8,0.657,0.7,0.5,0.2,3.9,0.8,1.4,2.2,0.9,3,2015,2017,FALSE
Shareif Adamu,2.0065999999999997,90.72,Forward,18.5,9,16,1.4,3.3,0.438,1.4,2.8,0.485,0.1,0.5,0.167,1.2,2.2,0.568,0.5,0.4,0.9,4.2,0.8,1.6,2.4,1.2,2,2011,2013,FALSE
Emmanuel Addo,2.032,104.328,Forward,29,6,15.6,2.2,4.5,0.496,1.9,3.7,0.517,0.3,0.8,0.406,1.5,2.1,0.716,0.6,0.1,0.1,6.3,1.1,1.7,2.8,1.2,4,2011,2014,FALSE
Bam Adebayo,2.0827999999999998,117.936,Forward,38,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0,0,0,4.1,6.2,0.653,0.8,0.7,1.5,13,3.1,4.9,8,1.7,1,2017,2017,TRUE
Temi Adebayo,2.0827999999999998,107.0496,Center,7.5,0,2.1,0,0.1,0,0,0.1,0,0,0,0,0.1,0.3,0.5,0.1,0,0.1,0.1,0.1,0.3,0.4,0.1,2,2009,2010,FALSE
Ayo Adedeji,1.9304,88.452,Guard,3,0,2,0,1,0,0,0.3,0,0,0.7,0,1,1.3,0.75,0,0,0,1,0.7,1,1.7,0,1,2016,2016,FALSE
Desmond Adedeji,2.0574,135.1728,Center,10.6,0.8,10.3,1.5,3.1,0.506,1.5,3.1,0.506,0,0,0,0.6,1.5,0.395,0.2,0.2,0.6,3.7,0.8,1.6,2.4,0.9,5,2006,2010,FALSE
Adetunji Adedipe,1.9558,97.524,Forward,21,1,3.5,0.3,0.5,0.613,0.3,0.5,0.613,0,0,0,0,0.3,0.188,0,0,0,0.7,0.4,0.5,0.9,0.2,3,2009,2011,FALSE
Ogo Adegboye,1.8288,80.2872,Guard,31,21,30.3,2.8,6.9,0.4,1.4,3.1,0.442,1.4,3.8,0.366,2.1,3.2,0.66,3.2,0.7,0.1,9,0.3,2.1,2.4,2,2,2010,2011,FALSE
Jawad Adekoya,1.9811999999999999,86.184,Guard,20.5,6.5,15.6,1.9,5.7,0.336,0.8,2.2,0.348,1.2,3.6,0.329,1.3,1.8,0.736,0.5,0.6,0.1,6.3,0.4,1.6,2,0.9,2,2015,2016,FALSE
Jubril Adekoya,2.0065999999999997,104.328,Forward,28,9.25,19.9,2.1,4.2,0.5,1.8,3.5,0.519,0.3,0.7,0.403,1.3,2,0.659,0.9,0.7,0.2,5.8,1.1,2.9,4,1.3,4,2014,2017,FALSE
Deji Adekunle,2.1082,104.328,Forward,17,0,7.1,0.4,0.9,0.438,0.4,0.9,0.438,0,0,0,0.2,0.5,0.333,0.1,0.1,0.1,1,0.5,1.2,1.7,0.6,1,2015,2015,FALSE
Deng Adel,2.0065999999999997,86.184,Forward,29.666666666666668,23.666666666666668,26.8,3.9,9,0.438,2.8,5.7,0.489,1.1,3.3,0.348,2.2,2.9,0.776,2,0.5,0.3,11.2,0.6,3.5,4.1,1.7,3,2016,2018,FALSE
Seth Adelsperger,2.1082,104.328,Center,30.75,3.75,9.7,1.1,1.8,0.608,1.1,1.8,0.608,0,0,0,0.7,1.2,0.58,0.2,0.1,0.4,2.9,0.8,1.2,2,0.4,4,2017,2020,FALSE
Faisal Aden,1.9304,81.1944,Guard,25,8,25,5.1,11.6,0.439,3.7,7.3,0.5,1.4,4.3,0.333,1.8,2.1,0.83,1.3,1.3,0.2,13.3,0.7,2.5,3.2,2.3,2,2011,2012,FALSE
Shore Adenekan,2.0574,106.596,Forward,28,8,17.2,1.8,3.3,0.56,1.8,3.3,0.56,0,0,0,1.1,2,0.554,0.3,0.3,0.7,4.8,1.2,2.4,3.6,0.9,2,2014,2015,FALSE
J.T. Adenrele,2.0065999999999997,106.596,Forward,31.5,28,20.1,3,5.6,0.528,2.9,5.6,0.528,0,0,0.5,1.6,2.5,0.64,0.6,0.6,0.9,7.5,1.6,2.9,4.5,1.6,4,2012,2017,FALSE
Aaron Adeoye,2.0065999999999997,107.5032,Forward,23,11.5,17.5,1.6,3.6,0.441,1.5,3.3,0.457,0.1,0.3,0.24,0.9,1.4,0.63,0.5,0.4,0.5,4.1,1.5,2.7,4.2,1.2,4,2012,2015,FALSE
Josh Adeyeye,1.9558,99.792,Guard,31.5,16.5,20,2.9,7,0.405,1,2.3,0.428,1.9,4.7,0.395,1,1.3,0.765,0.6,0.3,0.1,8.6,0.4,2.8,3.2,1,2,2015,2016,FALSE
Pernell Adgei,2.032,99.792,Forward,9,2.25,9.1,0.5,1.3,0.413,0.5,1.3,0.422,0,0,0,0.6,1,0.556,0.3,0.3,0,1.6,0.9,1.4,2.3,0.5,4,2016,2019,FALSE
Anthony Adger,1.8541999999999998,77.112,Guard,32,24,26.4,3.4,9.7,0.354,1.9,4.6,0.407,1.5,5.1,0.306,2.5,3.1,0.822,2.5,0.8,0,11,0.4,2.7,3.1,1.9,2,2018,2019,FALSE
Niwayo Adjei,1.8541999999999998,81.648,Guard,10,0,3.8,0.2,1.4,0.143,0.2,1,0.2,0,0.4,0,0.8,1,0.8,0.2,0,0,1.2,0,0.1,0.1,0.6,1,2013,2013,FALSE
Scott Adler,1.905,86.184,Guard,9,0,3.6,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0.2,0.6,0.4,0.3,0,0.1,0.9,0.2,0.3,0.6,0,1,2014,2014,FALSE
Quinton Adlesh,1.8541999999999998,90.72,Guard,23,8.2,22.4,2.9,6.8,0.426,1.2,2.5,0.471,1.7,4.3,0.399,0.4,0.6,0.691,1.9,1.1,0,7.9,0.2,2,2.2,1.3,5,2016,2020,FALSE
Nathan Adrian,2.0574,106.596,Forward,35,18.75,20.9,2,4.9,0.414,1.3,2.5,0.511,0.7,2.4,0.311,0.9,1.3,0.674,1.4,1,0.4,5.7,1.8,1.9,3.7,0.9,4,2014,2017,FALSE
Marvin Adu,2.032,104.328,Forward,14.5,0.5,4.6,0.2,0.4,0.636,0.2,0.4,0.636,0,0,0,0.1,0.3,0.3,0,0.2,0.1,0.6,0.2,0.5,0.7,0.3,2,2011,2012,FALSE
Taylor Adway,2.0574,95.256,Forward,27,11.333333333333334,10.4,1.2,2.4,0.513,1.2,2.3,0.516,0,0,0,0.8,1.4,0.574,0.3,0.2,0.4,3.2,0.7,1.8,2.5,0.8,3,2016,2018,FALSE
Robert Aery,1.8288,83.916,Guard,6.5,0,3.8,0.5,2.2,0.241,0.2,0.5,0.286,0.4,1.7,0.227,0.2,0.3,0.75,0.2,0.1,0,1.7,0.1,0.2,0.2,0.2,2,2011,2012,FALSE
Ernest Aflakpui,2.0827999999999998,108.864,Center,28,21.5,17.4,1.8,3.1,0.591,1.8,3.1,0.591,0,0,0,0.8,1.4,0.567,0.4,0.4,0.3,4.4,1.8,3,4.9,1,4,2016,2019,FALSE
Wesley Afolayan,2.0065999999999997,102.06,Forward,14,0,5.9,0.6,1.6,0.356,0.6,1.5,0.381,0,0.1,0,0.2,0.6,0.353,0.1,0.1,0.1,1.4,0.5,0.9,1.4,0.5,2,2013,2015,FALSE
Latiq Agard,1.9558,102.06,Forward,1,0,5,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,1,1,2011,2011,FALSE
