Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
50,50,ATL,Skylar Mays,LSU,2,37,284,136,36,31,.461,.357,.900,7.7,3.7,1.0,0.8,0.9,.152,2.1,0.3
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin Jr.,,2,56,1223,487,270,56,.523,.361,.723,21.8,8.7,4.8,1.0,2.8,.109,-1.3,0.2
53,53,OKC,Cassius Winston,Michigan State,1,22,98,41,9,12,.424,.471,.833,4.5,1.9,0.4,0.5,0.1,.066,-3.0,0.0
54,54,IND,Cassius Stanley,Duke,1,24,93,36,20,1,.302,.231,.778,3.9,1.5,0.8,0.0,-0.1,-.050,-11.2,-0.2
55,55,BRK,Jay Scrubb,John A. Logan College,2,6,96,41,15,1,.381,.273,.857,16.0,6.8,2.5,0.2,-0.1,-.067,-11.3,-0.2
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.4,0.1
57,57,LAC,Reggie Perry,Mississippi State,1,26,211,78,73,14,.410,.190,.769,8.1,3.0,2.8,0.5,0.2,.040,-6.7,-0.2
58,58,PHI,Paul Reed,DePaul,2,36,285,120,92,18,.547,.000,.500,7.9,3.3,2.6,0.5,1.0,.176,-0.3,0.1
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.6,0.1
60,60,NOP,Sam Merrill,Utah State University,2,34,280,105,34,25,.416,.406,.714,8.2,3.1,1.0,0.7,0.4,.074,-2.6,0.0
