Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,2,83,2713,1660,402,247,.419,.330,.775,32.7,20.0,4.8,3.0,1.4,.025,-2.1,-0.1
2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,.519,.316,.628,21.4,11.5,5.8,0.7,0.7,.042,-5.4,-0.7
3,3,CHO,LaMelo Ball,,2,65,1915,1072,408,414,.434,.359,.785,29.5,16.5,6.3,6.4,4.1,.104,2.4,2.1
4,4,CHI,Patrick Williams,Florida State,2,76,2108,688,338,102,.486,.396,.736,27.7,9.1,4.4,1.3,2.7,.063,-2.8,-0.4
5,5,CLE,Isaac Okoro,Auburn,2,73,2333,685,232,137,.420,.281,.717,32.0,9.4,3.2,1.9,1.0,.021,-5.0,-1.8
6,6,ATL,Onyeka Okongwu,USC,1,50,601,228,163,18,.644,.000,.632,12.0,4.6,3.3,0.4,1.9,.155,-1.3,0.1
7,7,DET,Killian Hayes,,2,36,925,235,98,169,.338,.306,.840,25.7,6.5,2.7,4.7,-1.2,-.062,-6.7,-1.1
8,8,NYK,Obi Toppin,Dayton,2,75,876,352,180,43,.513,.275,.702,11.7,4.7,2.4,0.6,2.3,.125,-0.5,0.3
9,9,WAS,Deni Avdija,,2,65,1492,398,319,78,.415,.312,.612,23.0,6.1,4.9,1.2,1.7,.055,-3.4,-0.5
10,10,PHO,Jalen Smith,Maryland,2,30,180,62,44,4,.431,.222,.800,6.0,2.1,1.5,0.1,0.1,.030,-6.2,-0.2
11,11,SAS,Devin Vassell,Florida State,2,74,1370,489,222,76,.421,.359,.812,18.5,6.6,3.0,1.0,2.3,.079,-1.5,0.2
12,12,SAC,Tyrese Haliburton,Iowa State,2,69,2107,897,216,366,.469,.404,.851,30.5,13.0,3.1,5.3,4.4,.100,1.3,1.8
13,13,NOP,Kira Lewis Jr.,Alabama,2,67,1073,399,93,150,.376,.302,.846,16.0,6.0,1.4,2.2,0.2,.011,-5.1,-0.8
14,14,BOS,Aaron Nesmith,Vanderbilt,2,55,751,237,140,27,.415,.346,.786,13.7,4.3,2.5,0.5,1.0,.062,-3.6,-0.3
15,15,ORL,Cole Anthony,UNC,2,59,1680,837,307,251,.408,.356,.836,28.5,14.2,5.2,4.3,0.9,.026,-2.2,-0.1
16,16,POR,Isaiah Stewart,Washington,2,79,1709,613,531,70,.552,.314,.691,21.6,7.8,6.7,0.9,4.5,.127,-1.5,0.2
17,17,MIN,Aleksej Pokusevski,,2,56,1253,413,260,110,.337,.275,.720,22.4,7.4,4.6,2.0,-2.0,-.078,-5.9,-1.2
18,18,DAL,Josh Green,Arizona,2,46,482,107,88,30,.441,.148,.565,10.5,2.3,1.9,0.7,0.4,.044,-3.9,-0.2
19,19,BRK,Saddiq Bey,Villanova,2,81,2272,995,395,127,.396,.365,.830,28.0,12.3,4.9,1.6,3.4,.072,-1.1,0.5
20,20,MIA,Precious Achiuwa,Memphis,2,74,1051,401,321,48,.478,.176,.515,14.2,5.4,4.3,0.6,1.4,.065,-4.8,-0.8
21,21,PHI,Tyrese Maxey,Kentucky,2,74,1399,710,153,181,.474,.324,.872,18.9,9.6,2.1,2.4,3.3,.113,-1.3,0.2
22,22,DEN,Zeke Nnaji,Arizona,2,46,429,165,74,10,.504,.424,.789,9.3,3.6,1.6,0.2,1.1,.124,-0.8,0.1
23,23,NYK,Leandro Bolmaro,,1,4,11,2,3,0,.000,.000,1.000,2.8,0.5,0.8,0.0,-0.1,-.305,-19.8,0.0
24,24,MIL,R.J. Hampton,,2,63,1106,444,213,107,.433,.342,.653,17.6,7.0,3.4,1.7,0.4,.017,-3.8,-0.5
25,25,OKC,Immanuel Quickley,Kentucky,2,77,1458,831,159,154,.391,.380,.892,18.9,10.8,2.1,2.0,3.6,.119,0.2,0.8
26,26,BOS,Payton Pritchard,Oregon,2,76,1375,532,176,132,.431,.403,.889,18.1,7.0,2.3,1.7,2.5,.088,-1.6,0.1
27,27,UTA,Udoka Azubuike,Kansas,2,17,59,16,13,0,.444,,.800,3.5,0.9,0.8,0.0,0.1,.115,-4.9,0.0
28,28,LAL,Jaden McDaniels,Washington,2,74,1779,480,278,80,.438,.350,.604,24.0,6.5,3.8,1.1,1.6,.042,-4.2,-1.0
29,29,TOR,Malachi Flynn,San Diego State,2,54,962,361,121,142,.372,.326,.804,17.8,6.7,2.2,2.6,0.9,.045,-2.5,-0.1
30,30,BOS,Desmond Bane,TCU,2,80,1865,799,255,143,.460,.408,.839,23.3,10.0,3.2,1.8,3.2,.083,-1.4,0.3
31,31,DAL,Tyrell Terry,Stanford,1,11,56,11,6,6,.313,.000,.333,5.1,1.0,0.5,0.5,-0.1,-.049,-5.5,-0.1
32,32,CHO,Vernon Carey Jr.,Duke,2,20,116,46,28,2,.486,.143,.818,5.8,2.3,1.4,0.1,0.1,.058,-6.5,-0.1
33,33,MIN,Daniel Oturu,Minnesota,1,30,161,54,48,10,.423,.200,.750,5.4,1.8,1.6,0.3,0.3,.081,-5.6,-0.1
34,34,PHI,Théo Maledon,,2,74,1906,678,227,239,.360,.322,.748,25.8,9.2,3.1,3.2,-1.2,-.029,-5.7,-1.8
35,35,SAC,Xavier Tillman Sr.,Michigan State,2,68,1212,424,286,85,.550,.303,.638,17.8,6.2,4.2,1.3,3.1,.121,-0.3,0.5
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.6,-0.1
37,37,WAS,Vit Krejci,,1,3,9,2,3,0,.000,.000,1.000,3.0,0.7,1.0,0.0,0.0,-.153,-16.3,0.0
38,38,UTA,Saben Lee,Vanderbilt,2,52,808,273,100,177,.463,.308,.677,15.5,5.3,1.9,3.4,1.4,.084,-2.2,0.0
39,39,NOP,Elijah Hughes,Syracuse,2,22,75,33,10,6,.313,.333,.833,3.4,1.5,0.5,0.3,0.0,-.014,-4.8,-0.1
40,40,MEM,Robert Woodard,Mississippi State,1,13,45,20,16,2,.400,.167,.375,3.5,1.5,1.2,0.2,0.0,-.011,-5.4,0.0
41,41,SAS,Tre Jones,Duke,2,48,348,123,29,52,.481,.429,.909,7.3,2.6,0.6,1.1,0.5,.074,-3.6,-0.1
42,42,NOP,Nick Richards,Kentucky,2,29,161,53,33,4,.588,.000,.722,5.6,1.8,1.1,0.1,0.2,.065,-6.0,-0.2
43,43,SAC,Jahmi'us Ramsey,Texas Tech,2,15,118,47,10,6,.419,.286,.714,7.9,3.1,0.7,0.4,0.0,.016,-4.6,-0.1
44,44,CHI,Marko Simonovic,,,,,,,,,,,,,,,,,,
45,45,MIL,Jordan Nwora,Louisville,2,43,547,285,108,27,.431,.395,.765,12.7,6.6,2.5,0.6,0.5,.045,-2.6,-0.1
46,46,POR,CJ Elleby,Washington State,2,36,224,75,39,11,.368,.205,.733,6.2,2.1,1.1,0.3,0.0,.003,-6.8,-0.3
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-4.1,-0.2
49,49,PHI,Isaiah Joe,Arkansas,2,48,437,167,39,22,.356,.364,.750,9.1,3.5,0.8,0.5,0.5,.059,-4.5,-0.3
