Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,.560,.147,.597,33.9,15.9,8.1,7.7,30.4,.156,3.7,13.4
2,2,LAL,Brandon Ingram,Duke,6,319,10433,5716,1620,1134,.461,.369,.756,32.7,17.9,5.1,3.6,15.0,.069,-0.7,3.4
3,3,BOS,Jaylen Brown,California,6,343,9570,5245,1629,606,.473,.378,.701,27.9,15.3,4.7,1.8,19.1,.096,-0.4,3.9
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-4.0,-1.9
5,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,.420,.305,.727,24.1,8.2,3.3,4.1,3.7,.032,-1.9,0.1
6,6,NOP,Buddy Hield,Oklahoma,6,393,11345,6302,1686,960,.434,.406,.864,28.9,16.0,4.3,2.4,15.5,.065,0.4,6.8
7,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,.446,.367,.878,30.1,16.3,3.6,3.8,20.8,.096,0.2,5.9
8,8,SAC,Marquese Chriss,Washington,5,258,4992,2052,1263,281,.455,.289,.667,19.3,8.0,4.9,1.1,5.7,.055,-2.3,-0.4
9,9,TOR,Jakob Poeltl,Utah,6,355,6648,2217,1958,430,.632,.500,.524,18.7,6.2,5.5,1.2,22.9,.165,0.8,4.7
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,6,361,9976,4960,3154,1205,.527,.319,.726,27.6,13.7,8.7,3.3,28.8,.139,1.4,8.4
12,12,UTA,Taurean Prince,Baylor,6,307,7845,3417,1276,583,.410,.367,.821,25.6,11.1,4.2,1.9,6.0,.037,-2.0,0.0
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,237,4607,1729,816,455,.394,.358,.787,19.4,7.3,3.4,1.9,4.3,.045,-1.9,0.1
15,15,DEN,Juan Hernangómez,,6,260,4219,1464,912,171,.430,.352,.692,16.2,5.6,3.5,0.7,7.2,.081,-2.0,0.0
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,6,263,5195,2590,614,315,.443,.389,.811,19.8,9.8,2.3,1.2,7.8,.072,-1.1,1.2
20,20,IND,Caris LeVert,Michigan,6,262,7019,3694,1005,1018,.435,.336,.730,26.8,14.1,3.8,3.9,9.7,.066,-0.5,2.7
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,246,4717,1492,801,470,.460,.269,.616,19.2,6.1,3.3,1.9,2.4,.024,-2.6,-0.8
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
23,23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot,,6,279,4581,1711,577,255,.389,.330,.825,16.4,6.1,2.1,0.9,3.8,.040,-4.3,-2.6
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
26,26,PHI,Furkan Korkmaz,,5,196,3524,1583,409,240,.412,.376,.765,18.0,8.1,2.1,1.2,6.3,.086,-1.2,0.7
27,27,TOR,Pascal Siakam,New Mexico State,5,332,9202,4739,1942,881,.488,.325,.782,27.7,14.3,5.8,2.7,25.2,.131,1.2,7.4
28,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
