name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,school,seasons,start_season,end_season,drafted
Max DiLeo,1.8542,88.45200000000001,Guard,29.0,5.5,15.5,1.3,3.2,0.422,0.9,1.9,0.477,0.4,1.3,0.422,1.1,1.5,0.736,0.9,1.0,0.2,4.2,0.6,1.3,1.9,0.6,Monmouth,4.0,2012,2015,False
Stefan Moody,1.778,81.1944,Guard,23.5,21.0,31.4,5.6,13.8,0.405,3.1,7.0,0.445,2.5,6.8,0.405,4.9,5.8,0.848,3.0,1.3,0.2,18.6,0.9,2.7,3.6,2.9,Overall,4.0,2013,2016,False
David Nwaba,1.9304,90.72,Guard,29.333333333333332,25.666666666666668,26.0,4.2,9.0,0.473,4.2,8.7,0.483,0.0,0.3,0.473,3.4,5.2,0.65,2.0,1.1,0.6,11.9,1.9,3.4,5.3,1.6,Cal Poly,3.0,2014,2016,False
J.T. Escobar,1.8796,84.3696,Guard,23.0,18.8,24.3,3.2,7.6,0.42,0.9,1.8,0.517,2.3,5.8,0.42,0.8,1.0,0.795,1.0,0.5,0.0,9.4,0.2,1.4,1.6,1.2,Overall,5.0,2016,2020,False
Blake Truman,2.032,104.328,Center,23.0,2.5,8.4,0.7,1.8,0.381,0.4,0.8,0.462,0.3,1.0,0.381,0.1,0.2,0.667,0.3,0.2,0.0,1.8,0.5,0.9,1.3,0.5,Idaho State,2.0,2018,2019,False
Montell Goodwin,1.8796,86.184,Guard,30.0,28.0,33.3,5.1,13.2,0.388,2.8,6.9,0.401,2.4,6.3,0.388,2.1,2.8,0.753,3.2,1.1,0.3,14.7,0.5,2.7,3.1,2.1,Eastern Illinois,2.0,2017,2018,False
Martaveous McKnight,1.9304,86.184,Guard,33.5,33.0,34.5,6.6,14.8,0.447,4.6,9.2,0.494,2.1,5.6,0.447,4.4,6.1,0.716,3.3,1.7,0.2,19.7,0.6,4.1,4.6,2.7,Arkansas-Pine Bluff,2.0,2018,2019,False
Erique Gumbs,2.0574,104.328,Forward,22.333333333333332,8.333333333333334,16.7,1.7,4.0,0.4370000000000001,1.7,3.8,0.455,0.0,0.2,0.4370000000000001,0.9,2.0,0.466,0.4,0.5,0.4,4.4,1.4,2.3,3.7,1.3,Towson,3.0,2010,2012,False
Marcus Ware,2.032,97.524,Forward,23.6,10.8,19.8,2.5,5.9,0.42,2.5,5.9,0.422,0.0,0.0,0.42,2.2,3.6,0.621,0.6,0.7,0.2,7.2,1.7,2.8,4.5,1.6,Overall,5.0,2010,2014,False
Mogga Lado,2.032,97.524,Forward,35.5,1.5,16.2,1.5,2.6,0.581,1.5,2.6,0.581,0.0,0.0,0.581,1.0,1.6,0.605,0.9,0.4,0.5,4.0,1.2,2.5,3.7,1.0,Campbell,2.0,2017,2018,False
Johannes Dolven,2.032,104.328,Forward,9.0,0.0,3.0,0.7,1.6,0.429,0.7,1.6,0.429,0.0,0.0,0.429,0.0,0.2,0.0,0.1,0.0,0.0,1.3,0.3,0.3,0.7,0.3,Drake,1.0,2017,2017,False
Andre Yates,1.8796,83.916,Guard,22.75,12.5,19.0,2.1,5.5,0.376,1.4,3.3,0.426,0.6,2.1,0.376,0.8,1.3,0.612,1.2,0.9,0.1,5.5,0.5,1.0,1.5,1.2,Overall,4.0,2013,2016,False
Jeron Trotman,1.9812,99.792,Forward,23.25,7.5,13.4,1.6,3.0,0.523,1.6,2.9,0.545,0.0,0.1,0.523,0.9,2.0,0.462,0.4,0.3,0.6,4.1,1.1,2.1,3.2,0.9,Overall,4.0,2010,2013,False
Dale Hughes,1.8796,89.3592,Guard,15.75,0.75,19.0,2.8,7.6,0.366,0.9,2.4,0.387,1.8,5.2,0.366,1.0,1.5,0.6629999999999999,0.6,0.5,0.0,8.4,0.4,0.9,1.3,1.3,Overall,4.0,2009,2012,False
Javen Hedgeman,1.9304,86.184,Guard,4.0,0.0,11.5,0.8,2.3,0.333,0.5,1.3,0.4,0.3,1.0,0.333,0.8,1.5,0.5,1.0,0.5,0.0,2.5,0.5,1.5,2.0,1.3,Prairie View,1.0,2020,2020,False
Daniel Andrews,2.0066,92.988,Forward,1.5,0.0,3.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.3,0.25,0.0,0.3,0.0,0.3,0.0,1.3,1.3,0.7,Army,2.0,2016,2017,False
Brandon Joseph,1.8288,77.112,Guard,4.0,0.0,4.8,0.3,0.5,0.5,0.3,0.3,1.0,0.0,0.3,0.5,0.5,0.5,1.0,0.3,0.0,0.0,1.0,0.3,1.0,1.3,0.3,Centenary (LA),1.0,2011,2011,False
David Blanks,1.905,81.648,Guard,33.5,21.0,27.8,2.7,6.3,0.426,2.0,4.2,0.481,0.6,2.0,0.426,2.3,3.5,0.657,3.0,0.8,0.1,8.3,0.9,3.0,3.9,2.1,Texas Southern,2.0,2015,2016,False
Devontae Morgan,1.9304,81.648,Guard,13.5,0.0,5.9,0.6,1.2,0.462,0.5,1.1,0.491,0.0,0.1,0.462,0.4,1.0,0.404,0.5,0.3,0.1,1.5,0.2,0.6,0.8,0.3,Overall,4.0,2013,2016,False
