name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,school,seasons,start_season,end_season,drafted
Deon Green,1.905,88.45200000000001,Guard,27.0,0.0,10.0,0.4,1.7,0.217,0.3,1.3,0.265,0.0,0.4,0.217,0.5,0.7,0.722,1.5,0.6,0.0,1.3,0.2,0.3,0.5,1.0,South Florida,1.0,2001,2001,False
Hakeem Rollins,2.0066,111.132,Center,31.0,3.5,17.7,1.5,3.1,0.467,1.5,3.1,0.469,0.0,0.0,0.467,1.2,1.9,0.647,0.5,0.3,0.9,4.2,1.2,2.0,3.3,0.9,Washington,2.0,2004,2005,False
Billy McDade,2.032,88.45200000000001,Forward,24.0,0.5,14.6,2.1,5.3,0.404,0.8,1.9,0.411,1.4,3.4,0.404,0.7,0.9,0.727,0.4,0.2,0.1,6.3,0.4,1.3,1.8,0.8,New Orleans,2.0,2003,2004,False
Harold Stewart,2.032,83.916,Forward,30.0,6.5,16.4,1.3,2.9,0.45,1.3,2.9,0.45,0.0,0.0,0.45,1.1,1.9,0.593,0.5,0.4,0.6,3.7,1.6,2.0,3.5,1.1,North Texas,4.0,2006,2009,False
Jerome Johnson,2.032,111.132,Center,10.0,0.0,4.5,0.2,0.8,0.25,0.2,0.8,0.25,0.0,0.0,0.25,0.0,0.3,0.0,0.1,0.1,0.0,0.4,0.4,0.2,0.6,0.7,UNLV,1.0,2006,2006,False
B.J. Ford,1.8288,74.844,Guard,19.75,4.25,6.7,0.5,1.5,0.325,0.2,0.5,0.35100000000000003,0.3,1.0,0.325,0.2,0.3,0.727,0.4,0.2,0.0,1.5,0.1,0.3,0.4,0.5,Overall,4.0,2006,2009,False
Klayton Korver,1.9812,95.256,Forward,30.5,22.5,24.4,3.0,7.6,0.391,1.0,2.1,0.484,2.0,5.5,0.391,1.5,1.9,0.77,0.9,0.7,0.1,9.4,1.1,2.8,4.0,1.0,Drake,4.0,2004,2008,False
Mitch Boyce,2.0828,115.668,Center,29.0,14.0,13.7,1.8,4.1,0.436,1.1,2.0,0.5479999999999999,0.7,2.1,0.436,0.6,1.0,0.614,0.6,0.3,0.3,4.8,0.5,1.4,1.9,0.8,Nicholls State,2.0,2007,2008,False
T.J. Cummings,2.0828,97.524,Forward,29.5,11.5,21.8,3.6,7.3,0.5,3.5,6.9,0.514,0.1,0.4,0.5,1.6,2.1,0.7659999999999999,0.7,0.2,0.3,9.0,1.4,3.0,4.4,1.4,UCLA,4.0,2001,2004,False
Troy Nance,1.7526,79.38,Guard,28.25,12.0,19.1,1.2,3.6,0.328,0.4,1.2,0.313,0.8,2.4,0.328,0.9,1.2,0.73,4.0,1.1,0.0,4.1,0.2,1.6,1.8,2.0,Old Dominion,4.0,2001,2004,False
Robert Ivy,1.9304,83.916,Guard,19.5,4.5,11.2,1.2,3.1,0.3720000000000001,0.9,2.0,0.462,0.2,1.1,0.3720000000000001,0.7,1.2,0.6,0.3,0.5,0.2,3.2,0.6,1.3,1.9,0.7,UTSA,2.0,2003,2004,False
Sasha Kaun,2.1082,113.4,Center,33.75,16.25,16.5,2.5,4.3,0.568,2.5,4.3,0.568,0.0,0.0,0.568,1.2,2.4,0.512,0.3,0.4,1.1,6.1,1.5,2.3,3.9,0.8,Kansas,4.0,2005,2008,True
Matt Akinosho,2.0066,95.256,Forward,29.0,3.5,9.4,0.5,1.4,0.345,0.5,1.4,0.345,0.0,0.0,0.345,0.6,1.1,0.557,0.2,0.3,0.3,1.6,1.3,0.9,2.2,0.7,UNC Greensboro,2.0,2006,2007,False
Jason Johnson,2.0066,99.792,Forward,29.5,19.5,24.4,4.7,8.1,0.586,4.7,8.0,0.589,0.0,0.0,0.586,3.2,6.1,0.525,0.8,0.9,1.5,12.7,3.1,4.7,7.9,2.1,South Carolina State,2.0,2008,2009,False
Tyrone Jordan,1.7526,77.112,Guard,8.666666666666666,0.3333333333333333,2.0,0.2,0.6,0.4,0.2,0.5,0.417,0.0,0.1,0.4,0.3,0.5,0.5379999999999999,0.3,0.1,0.0,0.8,0.1,0.3,0.4,0.2,Central Michigan,3.0,2006,2008,False
Calvin Brock,1.9558,90.72,Guard,30.25,7.5,17.8,2.1,4.7,0.444,1.8,3.8,0.471,0.3,0.9,0.444,0.8,1.3,0.609,1.2,0.7,0.2,5.2,1.3,1.9,3.3,1.1,Illinois,4.0,2006,2009,False
Geoffrey Brown,2.1082,104.328,Forward,9.0,0.0,16.1,1.9,3.4,0.5479999999999999,1.9,3.4,0.5479999999999999,0.0,0.0,0.5479999999999999,3.0,4.1,0.73,0.1,0.4,1.0,6.8,2.1,3.7,5.8,2.1,Southern Miss,1.0,2003,2003,False
Kit Avery,1.8796,83.916,Guard,7.0,0.0,1.6,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.667,0.1,0.0,0.0,0.1,0.1,0.3,0.4,0.0,Drake,2.0,2008,2009,False
Michael Hart,2.0066,94.8024,Forward,28.0,8.0,12.5,1.4,2.6,0.527,1.4,2.6,0.527,0.0,0.0,0.527,1.6,2.3,0.708,0.2,0.2,0.8,4.4,1.1,1.5,2.7,0.6,Northern Illinois,1.0,2008,2008,False
Michael McFadden,1.9558,92.988,Guard,27.5,15.0,25.8,2.6,7.4,0.35200000000000004,1.7,4.4,0.396,0.9,3.1,0.35200000000000004,1.0,1.2,0.8059999999999999,2.0,0.8,0.2,7.1,0.3,2.1,2.5,1.8,San Jose State,2.0,2004,2005,False
Lawrence Borha,1.905,92.988,Guard,31.25,22.5,24.0,2.4,5.5,0.442,1.5,3.0,0.4970000000000001,1.0,2.6,0.442,1.3,1.7,0.765,1.5,0.6,0.1,7.2,0.5,1.9,2.4,1.8,Utah,4.0,2006,2009,False
David President,1.8542,90.72,Guard,27.25,24.0,26.2,2.0,5.2,0.382,1.5,3.5,0.433,0.4,1.6,0.382,1.1,1.7,0.636,3.1,1.4,0.2,5.5,0.7,2.6,3.3,2.1,UTSA,4.0,2002,2005,False
Ed Estavan,1.7526,80.74080000000002,Guard,27.0,10.0,16.1,1.5,4.9,0.313,0.3,0.9,0.36,1.2,3.9,0.313,0.1,0.2,0.8,1.6,0.5,0.0,4.4,0.3,0.7,1.0,0.9,Cal State Northridge,1.0,2002,2002,False
