name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,school,seasons,start_season,end_season,drafted
Michael Beasley,2.0574,106.596,Forward,33.0,33.0,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.532,6.5,8.5,0.774,1.2,1.3,1.6,26.2,4.0,8.4,12.4,2.9,Kansas State,1.0,2008,2008,True
Travis Walton,1.8796,86.184,Guard,35.75,23.0,25.7,1.5,3.7,0.416,1.4,3.3,0.428,0.1,0.4,0.416,1.0,1.5,0.718,3.9,1.2,0.0,4.2,0.5,1.6,2.2,1.7,Michigan State,4.0,2006,2009,False
Zakee Smith,1.8288,79.38,Guard,26.5,19.0,26.1,1.1,3.5,0.316,0.9,2.7,0.345,0.2,0.8,0.316,0.9,2.0,0.471,4.1,0.7,0.1,3.3,0.4,1.3,1.7,2.3,Cal State Fullerton,2.0,2003,2004,False
T.J. Riley,1.8542,79.38,Guard,14.0,2.0,7.0,0.9,2.0,0.429,0.6,1.4,0.474,0.2,0.6,0.429,0.4,0.6,0.667,0.3,0.3,0.0,2.4,0.9,0.3,1.1,0.6,Lamar,1.0,2009,2009,False
Spencer Laurie,1.8542,82.5552,Guard,20.166666666666668,11.166666666666666,23.6,2.0,5.7,0.353,0.8,2.2,0.342,1.2,3.5,0.353,0.5,0.8,0.604,2.8,1.0,0.1,5.8,0.3,1.4,1.7,1.8,Overall,6.0,2004,2009,False
Joe Ballard,1.8288,86.184,Guard,32.25,21.5,27.7,1.9,5.0,0.387,1.6,3.6,0.433,0.4,1.4,0.387,1.2,2.2,0.547,3.2,1.6,0.1,5.4,1.0,2.3,3.3,2.6,Florida A&M,4.0,2006,2009,False
Markey Picard,1.8288,81.648,Guard,28.0,18.0,23.9,2.0,5.7,0.35700000000000004,1.0,2.7,0.373,1.0,3.0,0.35700000000000004,0.9,1.6,0.551,2.7,1.2,0.0,6.0,0.5,1.8,2.4,2.7,Bethune-Cookman,2.0,2003,2004,False
Willie Shaw,1.9812,86.184,Guard,22.75,13.25,25.0,3.1,8.2,0.371,1.4,3.3,0.421,1.7,4.9,0.371,1.6,2.4,0.6759999999999999,0.9,0.9,0.4,9.4,1.2,1.5,2.7,1.2,St. John's (NY),4.0,2001,2004,False
Kudjo Sogadzi,1.8542,88.45200000000001,Guard,29.25,16.75,19.9,2.1,6.1,0.342,1.3,3.6,0.365,0.8,2.5,0.342,1.9,2.5,0.753,1.3,0.9,0.1,6.9,0.4,1.6,2.0,1.5,Fairfield,4.0,2002,2005,False
Winston Brooks,1.8288,86.184,Guard,23.5,22.0,24.4,1.0,2.3,0.413,0.6,1.3,0.508,0.3,1.1,0.413,0.6,0.8,0.667,2.9,0.9,0.0,2.8,0.6,2.1,2.3,2.0,Gonzaga,2.0,2002,2003,False
Antwan Hardy,1.8288,83.916,Guard,26.0,11.5,25.3,3.2,8.8,0.364,1.6,4.6,0.35100000000000003,1.6,4.2,0.364,1.6,2.1,0.794,1.3,0.7,0.1,9.6,0.8,1.9,2.7,1.7,Stony Brook,2.0,2005,2006,False
J.J. Hickson,2.0574,109.7712,Forward,31.0,26.0,28.7,5.3,8.9,0.591,5.3,8.9,0.593,0.0,0.0,0.591,4.3,6.3,0.677,1.0,0.7,1.5,14.8,2.6,5.9,8.5,2.7,NC State,1.0,2008,2008,True
Wade Hokenson,1.7526,77.112,Guard,7.5,0.25,2.1,0.1,0.5,0.214,0.1,0.2,0.28600000000000003,0.0,0.2,0.214,0.1,0.3,0.4,0.3,0.0,0.0,0.4,0.0,0.5,0.5,0.3,Minnesota,4.0,2001,2004,False
Jake Hannon,1.9558,106.596,Forward,11.5,0.0,2.7,0.3,0.5,0.583,0.3,0.5,0.583,0.0,0.0,0.583,0.0,0.3,0.16699999999999998,0.1,0.0,0.0,0.7,0.1,0.2,0.3,0.1,Michigan State,2.0,2006,2007,False
Brian Kreefer,2.0066,104.328,Forward,25.5,4.75,11.8,1.5,3.0,0.511,1.3,2.1,0.602,0.3,0.9,0.511,0.5,0.8,0.617,0.8,0.2,0.1,3.8,0.8,1.3,2.1,0.7,Cornell,4.0,2006,2009,False
Chrismen Oliver,1.7271999999999998,70.308,Guard,25.0,7.25,16.1,1.7,4.2,0.396,1.0,2.3,0.42,0.7,1.9,0.396,0.7,1.0,0.68,1.8,0.9,0.1,4.7,0.2,0.9,1.1,1.5,UCSB,4.0,2002,2005,False
Sheu Oduniyi,1.905,81.648,Guard,22.0,3.5,13.7,1.4,3.7,0.37,0.6,1.3,0.441,0.8,2.3,0.37,1.3,1.6,0.797,0.6,0.3,0.1,4.8,0.2,0.7,0.9,1.2,Portland State,2.0,2004,2005,False
Greg Avery,1.9304,77.112,Guard,30.0,4.0,21.3,2.6,6.9,0.379,2.2,5.3,0.424,0.4,1.6,0.379,1.1,1.9,0.561,1.1,1.2,0.2,6.6,1.6,2.3,3.9,1.9,Western Carolina,1.0,2009,2009,False
Kyle Carrabine,2.0066,95.256,Guard,19.75,1.0,8.9,0.7,2.1,0.35200000000000004,0.3,0.7,0.481,0.4,1.4,0.35200000000000004,0.2,0.4,0.5429999999999999,0.3,0.2,0.0,2.1,0.2,0.8,1.1,0.3,William & Mary,4.0,2005,2008,False
Gershom Jordan,1.9812,140.1624,Center,27.0,1.0,8.8,1.4,2.4,0.585,1.4,2.4,0.585,0.0,0.0,0.585,0.7,1.3,0.5589999999999999,0.1,0.1,0.3,3.5,0.9,1.4,2.4,0.6,Tennessee State,1.0,2009,2009,False
Jamaine Nance,1.8542,92.988,Guard,19.0,0.0,6.4,0.5,1.2,0.391,0.3,0.6,0.455,0.2,0.6,0.391,0.8,0.9,0.833,0.2,0.2,0.1,1.9,0.1,0.5,0.6,0.9,Weber State,1.0,2008,2008,False
Jeff James,1.9812,90.72,Forward,22.0,6.5,10.6,0.9,1.8,0.475,0.9,1.8,0.475,0.0,0.0,0.475,1.1,1.5,0.742,0.1,0.2,0.2,2.8,0.8,1.1,1.8,0.8,Butler,2.0,2003,2004,False
Edvin Masic,2.0828,113.4,Center,23.5,0.0,8.3,1.0,2.3,0.435,1.0,2.2,0.448,0.0,0.1,0.435,0.2,0.4,0.611,0.2,0.3,0.3,2.2,0.7,1.3,2.0,0.4,Wofford,2.0,2001,2002,False
Kelvin Williams,1.9304,99.792,Forward,29.666666666666668,11.333333333333334,18.0,1.7,3.5,0.481,1.7,3.5,0.486,0.0,0.0,0.481,1.1,2.1,0.519,1.0,0.9,0.3,4.5,1.4,2.4,3.8,1.7,Sam Houston State,3.0,2004,2006,False
Ricky Soliver,1.905,79.38,Guard,27.75,21.75,32.2,4.2,10.4,0.403,2.8,6.6,0.423,1.4,3.8,0.403,3.0,4.0,0.747,4.0,1.9,0.2,12.7,1.3,3.3,4.6,2.5,Iona,4.0,2003,2006,False
Darrio Scott,1.9812,99.792,Forward,11.25,0.25,10.5,1.6,3.5,0.449,1.4,2.8,0.504,0.2,0.7,0.449,0.6,1.1,0.52,0.3,0.6,0.1,3.9,0.8,1.4,2.2,0.9,Overall,4.0,2002,2005,False
Leonta Matthews,1.9812,90.72,Forward,16.333333333333332,12.0,22.4,2.6,5.6,0.467,2.6,5.6,0.467,0.0,0.0,0.467,1.1,2.4,0.467,0.7,0.6,0.2,6.4,2.1,2.7,4.8,2.4,Texas Southern,3.0,2005,2007,False
Pierre-Marie Altidor Cespedes,1.8542,82.1016,Guard,31.0,17.75,19.4,1.1,2.7,0.409,0.6,1.3,0.481,0.5,1.4,0.409,0.6,0.8,0.6829999999999999,2.2,0.7,0.1,3.2,0.5,1.2,1.7,1.4,Overall,4.0,2005,2008,False
Emmanuel Gaiter,1.9304,102.06,Guard,16.0,4.0,15.6,2.1,4.2,0.493,2.0,4.0,0.512,0.0,0.2,0.493,1.3,1.9,0.6609999999999999,0.5,0.3,0.0,5.4,0.8,1.0,1.8,1.0,Tennessee State,2.0,2008,2009,False
Dale Parsons,1.8288,81.648,Guard,10.0,4.0,19.3,1.5,4.2,0.35700000000000004,0.8,1.7,0.471,0.7,2.5,0.35700000000000004,0.7,0.9,0.778,1.3,0.5,0.0,4.4,0.3,1.7,2.0,2.1,Weber State,1.0,2005,2005,False
Dan Trammel,1.9812,102.06,Forward,29.0,29.0,25.4,4.3,8.1,0.534,4.3,8.0,0.539,0.0,0.1,0.534,2.9,4.4,0.659,0.5,1.3,1.2,11.6,2.4,4.8,7.2,1.9,Montana,2.0,2001,2002,False
Antwaun Dent,2.0066,95.256,Forward,16.333333333333332,5.666666666666667,11.8,1.2,3.4,0.341,1.0,2.4,0.4,0.2,1.0,0.341,0.6,0.8,0.7,0.6,0.3,0.0,3.1,0.8,1.3,2.1,0.8,Delaware State,3.0,2002,2004,False
Jeffrey Williams,1.9558,97.524,Forward,5.5,0.0,6.0,0.8,1.3,0.643,0.8,1.3,0.643,0.0,0.0,0.643,0.1,0.3,0.333,0.0,0.0,0.1,1.7,0.3,0.7,1.0,0.1,Alabama A&M,2.0,2001,2002,False
Vj Fails,2.0066,108.864,Forward,12.666666666666666,4.666666666666667,14.2,1.0,2.2,0.458,1.0,2.2,0.463,0.0,0.0,0.458,0.6,1.5,0.362,0.8,0.4,0.2,2.6,1.4,2.4,3.8,0.7,Charleston Southern,3.0,2005,2007,False
Aswan Minatee,1.9558,104.328,Forward,31.0,2.0,15.3,2.1,4.3,0.481,2.1,4.2,0.489,0.0,0.1,0.481,1.2,1.8,0.6729999999999999,0.3,0.4,0.1,5.4,1.2,1.6,2.8,1.1,Green Bay,2.0,2006,2007,False
Brady Dawkins,1.8034,72.57600000000002,Guard,28.0,13.25,21.6,1.7,4.7,0.363,0.2,0.7,0.32,1.5,4.0,0.363,0.5,0.7,0.759,2.7,0.5,0.0,5.4,0.2,1.2,1.3,2.0,Texas-Arlington,4.0,2003,2006,False
Adenilson Clementino,2.0066,99.792,Center,26.0,14.0,17.1,0.8,2.0,0.396,0.8,2.0,0.4,0.0,0.0,0.396,0.9,2.0,0.447,0.3,0.4,0.2,2.5,1.5,2.0,3.5,1.3,Prairie View,2.0,2006,2007,False
Kyle Ramstetter,1.8542,83.916,Guard,10.0,0.0,1.3,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.1,0.2,0.3,0.1,Colorado State,1.0,2003,2003,False
Kenny Plummer,1.9558,99.792,Forward,30.0,3.5,18.3,2.5,4.1,0.609,2.5,4.1,0.609,0.0,0.0,0.609,1.1,2.5,0.44,1.2,0.4,0.9,6.0,1.3,2.4,3.7,1.8,Montana State,2.0,2001,2002,False
Edward O'Neil,1.8034,77.112,Guard,27.75,25.75,31.1,2.3,6.6,0.354,1.4,3.4,0.421,0.9,3.2,0.354,1.8,2.6,0.6940000000000001,4.5,2.2,0.1,7.4,0.3,2.6,2.9,2.8,Charleston Southern,4.0,2001,2004,False
Robert Hines,1.9558,113.4,Forward,29.5,27.5,34.4,5.6,14.3,0.391,4.7,10.8,0.433,0.9,3.5,0.391,3.7,5.1,0.737,2.3,1.0,0.5,15.8,2.2,3.8,6.0,3.9,St. Francis (NY),2.0,2007,2008,False
Andy Means,1.9558,90.72,Guard,8.5,0.0,2.8,0.2,0.5,0.444,0.1,0.4,0.28600000000000003,0.1,0.1,0.444,0.1,0.2,0.5,0.1,0.2,0.0,0.7,0.3,0.5,0.8,0.2,Duke,2.0,2002,2003,False
Jay January,1.8796,88.45200000000001,Guard,28.333333333333332,7.333333333333333,17.2,1.8,5.3,0.35,1.2,3.1,0.387,0.7,2.2,0.35,1.0,1.5,0.682,1.6,0.5,0.0,5.4,0.5,1.7,2.2,2.1,Mercer,3.0,2002,2004,False
Tremaine Johnson,1.8542,77.112,Guard,20.0,0.0,5.3,0.6,1.4,0.4270000000000001,0.5,1.1,0.477,0.1,0.3,0.4270000000000001,0.5,0.6,0.75,0.2,0.1,0.0,1.7,0.3,0.4,0.6,0.5,Delaware State,3.0,2007,2009,False
Adrian Jones,1.9558,90.72,Forward,26.666666666666668,1.0,9.1,0.7,1.9,0.364,0.4,0.8,0.439,0.3,1.1,0.364,0.2,0.3,0.652,0.4,0.3,0.1,1.9,0.4,0.6,1.0,0.5,Belmont,3.0,2004,2006,False
William Clay,1.905,83.916,Guard,16.0,1.0,4.7,0.2,0.8,0.231,0.1,0.3,0.4,0.1,0.5,0.231,0.3,0.5,0.5,0.6,0.3,0.0,0.7,0.0,0.4,0.4,0.4,Mississippi Valley State,1.0,2005,2005,False
Ron Dokes,2.0574,115.668,Center,29.5,26.0,25.6,3.4,6.9,0.49,3.3,6.6,0.504,0.1,0.3,0.49,2.5,3.7,0.6729999999999999,1.2,0.5,0.7,9.4,1.6,3.3,4.9,2.3,Duquesne,2.0,2003,2004,False
Avery Headley,2.0066,104.328,Forward,24.0,14.0,17.8,2.0,4.9,0.405,2.0,4.9,0.405,0.0,0.0,0.405,1.7,3.1,0.5329999999999999,0.4,0.9,0.4,5.7,1.8,2.4,4.2,1.9,Florida Atlantic,2.0,2002,2003,False
Terrence Simmons,1.905,77.112,Guard,30.5,17.5,21.8,1.6,3.6,0.436,0.9,1.8,0.505,0.7,1.9,0.436,0.2,0.5,0.483,1.7,0.4,0.1,4.1,0.3,1.8,2.1,1.1,Idaho,2.0,2008,2009,False
Taylor Gagnon,1.9812,95.256,Forward,25.0,5.0,11.4,0.6,1.7,0.345,0.5,1.2,0.382,0.1,0.5,0.345,0.5,0.7,0.6890000000000001,0.2,0.2,0.1,1.8,0.7,1.1,1.9,0.6,East Carolina,4.0,2005,2008,False
Kendric Price,2.032,92.988,Forward,8.0,0.0,2.8,0.5,0.9,0.5710000000000001,0.5,0.9,0.5710000000000001,0.0,0.0,0.5710000000000001,0.1,0.5,0.25,0.1,0.1,0.1,1.1,0.3,0.6,0.9,0.6,Michigan,1.0,2007,2007,False
Shayle Keating,1.8288,83.916,Guard,18.25,0.25,4.4,0.1,0.5,0.27,0.1,0.3,0.318,0.0,0.2,0.27,0.3,0.5,0.618,0.4,0.2,0.0,0.6,0.1,0.4,0.5,0.2,Rutgers,4.0,2004,2007,False
Jay Joseph,1.9304,97.524,Guard,29.75,29.5,31.1,5.0,11.2,0.446,2.8,5.6,0.5,2.2,5.6,0.446,1.6,2.1,0.785,1.4,1.2,0.3,13.8,1.1,2.9,4.0,2.0,UNC Greensboro,4.0,2001,2004,False
Vadim Denishenko,2.032,95.256,Forward,11.0,0.0,4.7,0.3,0.8,0.333,0.3,0.8,0.333,0.0,0.0,0.333,0.1,0.2,0.5,0.0,0.1,0.3,0.6,0.8,0.8,1.6,0.5,Northeastern,1.0,2003,2003,False
Emmanuel Amatosero,2.0574,99.792,Center,14.0,0.0,3.4,0.1,0.3,0.25,0.1,0.3,0.25,0.0,0.0,0.25,0.3,0.4,0.667,0.0,0.1,0.2,0.4,0.3,0.1,0.4,0.1,Eastern Michigan,1.0,2004,2004,False
Lance Hurdle,1.8796,83.0088,Guard,21.75,10.75,19.8,1.8,5.4,0.328,1.1,3.4,0.316,0.7,2.0,0.328,1.9,2.4,0.773,2.2,0.7,0.1,6.1,0.3,1.3,1.6,1.4,Overall,4.0,2006,2009,False
Blake Walker,1.9558,95.256,Guard,27.0,25.5,31.9,5.4,12.3,0.4370000000000001,4.6,9.4,0.4920000000000001,0.7,2.9,0.4370000000000001,3.4,4.9,0.688,1.6,1.1,0.2,14.9,1.9,3.6,5.4,2.3,Portland State,2.0,2004,2005,False
Brett Lauer,1.8542,81.648,Guard,32.5,18.5,21.4,2.3,5.0,0.45,0.5,1.2,0.447,1.7,3.9,0.45,1.1,1.3,0.8240000000000001,1.2,0.6,0.0,7.3,0.3,1.5,1.8,1.0,UC-Irvine,2.0,2008,2009,False
Ross Alacqua,1.7271999999999998,77.112,Guard,23.25,4.75,18.6,1.9,5.3,0.363,0.4,0.9,0.398,1.6,4.4,0.363,1.1,1.2,0.913,1.3,0.7,0.0,6.5,0.2,0.8,1.0,1.1,Mercer,4.0,2003,2007,False
Allan Ray,1.8796,86.184,Guard,32.5,25.0,30.9,5.1,12.4,0.407,2.7,5.9,0.451,2.4,6.5,0.407,3.1,3.7,0.82,2.0,1.1,0.1,15.6,0.6,2.6,3.2,2.2,Villanova,4.0,2003,2006,False
Troy Lindbeck,1.905,83.916,Guard,30.5,3.25,13.9,1.1,3.2,0.332,0.1,0.4,0.227,1.0,2.8,0.332,0.6,0.8,0.742,0.9,0.3,0.0,3.7,0.2,0.6,0.9,0.7,UCF,4.0,2003,2006,False
Tony Durant,2.0066,111.132,Forward,29.5,13.5,18.9,2.5,6.0,0.412,2.4,5.5,0.431,0.1,0.4,0.412,1.2,1.6,0.75,0.5,0.4,0.3,6.2,1.3,2.1,3.4,1.2,Towson,2.0,2008,2009,False
Logan Kinghorn,1.9558,97.524,Guard,28.5,22.5,23.8,2.8,6.4,0.441,2.5,5.2,0.468,0.4,1.2,0.441,1.9,2.6,0.727,1.2,0.8,0.1,8.0,1.5,2.9,4.4,1.7,Idaho State,4.0,2005,2008,False
Armon Jones,2.032,113.4,Forward,9.0,0.5,3.1,0.2,0.4,0.375,0.2,0.4,0.375,0.0,0.0,0.375,0.1,0.2,0.333,0.1,0.1,0.0,0.4,0.2,0.4,0.6,0.8,Liberty,2.0,2007,2008,False
Norman Mitchell,1.9304,81.648,Guard,25.0,3.5,9.8,0.6,1.6,0.395,0.4,0.8,0.5,0.2,0.8,0.395,0.3,0.3,0.765,0.5,0.2,0.0,1.8,0.3,0.6,0.9,0.5,Georgia State,2.0,2007,2008,False
Lennox Marshall,2.032,113.4,Forward,9.0,0.0,2.1,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.2,0.0,0.1,0.7,0.8,0.3,Appalachian State,1.0,2005,2005,False
David Boykin,1.8796,79.38,Guard,19.0,0.0,4.8,0.3,1.2,0.261,0.2,0.6,0.25,0.2,0.6,0.261,0.1,0.3,0.333,0.3,0.1,0.0,0.9,0.0,0.2,0.2,0.4,Fordham,1.0,2007,2007,False
Will Emerson,2.0828,99.792,Forward,28.5,16.0,24.2,3.5,7.4,0.471,3.1,6.1,0.504,0.4,1.4,0.471,1.8,2.6,0.674,1.1,0.5,0.3,9.2,1.8,3.3,5.1,1.5,Mercer,4.0,2002,2006,False
Brandon Sievers,1.7526,81.648,Guard,6.0,0.0,3.3,0.5,1.3,0.375,0.2,0.3,0.5,0.3,1.0,0.375,0.2,0.2,1.0,0.3,0.0,0.2,1.5,0.2,0.2,0.3,0.3,UC-Irvine,1.0,2006,2006,False
Lamar Bigby,1.9558,83.916,Guard,20.5,0.0,7.8,0.5,1.3,0.382,0.3,0.7,0.483,0.2,0.6,0.382,0.7,0.8,0.794,0.4,0.1,0.1,1.9,0.4,0.5,1.0,0.4,UNLV,2.0,2002,2003,False
Matt Freije,2.0828,108.864,Forward,30.25,27.75,28.7,5.2,11.7,0.448,3.7,7.4,0.501,1.5,4.3,0.448,3.7,4.7,0.7859999999999999,0.9,0.7,0.6,15.6,1.6,3.3,4.9,1.4,Vanderbilt,4.0,2001,2004,True
Lee Church,1.8288,79.38,Guard,25.0,3.5,9.3,0.6,1.8,0.337,0.6,1.5,0.397,0.0,0.3,0.337,0.2,0.4,0.524,1.2,0.6,0.0,1.4,0.2,0.5,0.7,1.2,Stony Brook,2.0,2001,2002,False
Kenny Barnes,2.0066,95.256,Forward,17.0,0.0,4.4,0.4,1.2,0.3,0.3,0.6,0.455,0.1,0.5,0.3,0.1,0.2,0.667,0.1,0.2,0.0,0.9,0.1,0.7,0.8,0.2,San Francisco,1.0,2005,2005,False
Ray Witkos,1.8288,79.38,Guard,3.0,0.0,3.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,Bryant,1.0,2009,2009,False
Ben Devoe,2.1082,117.936,Center,13.0,11.2,22.6,3.4,6.2,0.5489999999999999,3.4,6.2,0.55,0.0,0.0,0.5489999999999999,1.1,1.6,0.6990000000000001,0.6,0.4,1.3,7.9,1.5,3.8,5.2,0.7,Overall,5.0,2002,2006,False
Terrance Johnson,1.9558,89.3592,Guard,30.0,22.666666666666668,32.3,5.3,11.8,0.446,2.8,5.6,0.498,2.5,6.2,0.446,1.2,1.6,0.7659999999999999,1.7,1.0,0.2,14.2,1.0,2.6,3.5,1.5,Pepperdine,3.0,2002,2004,False
Randy Hampton,1.9558,86.184,Forward,15.6,6.8,19.6,2.3,4.7,0.48,1.9,3.5,0.535,0.4,1.2,0.48,1.5,2.6,0.562,0.9,0.5,0.3,6.4,1.1,2.1,3.1,1.9,Overall,5.0,2005,2009,False
Tate Sorenson,2.0066,97.524,Forward,25.0,16.5,18.4,2.9,4.8,0.603,2.9,4.8,0.603,0.0,0.0,0.603,1.2,2.4,0.508,0.5,0.6,0.5,7.0,1.8,2.3,4.1,1.1,Southern Utah,2.0,2007,2008,False
