Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,8,531,18787,10360,2351,1242,.446,.342,.731,35.4,19.5,4.4,2.3,19.4,.049,-1.8,1.0
2,2,MIL,Jabari Parker,Duke,8,301,8461,4351,1682,605,.495,.324,.741,28.1,14.5,5.6,2.0,13.6,.077,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,6,266,8123,6582,2988,819,.485,.329,.809,30.5,24.7,11.2,3.1,32.5,.192,4.8,14.0
4,4,ORL,Aaron Gordon,Arizona,8,460,13105,5853,2919,1137,.451,.320,.694,28.5,12.7,6.3,2.5,24.1,.088,-0.1,6.4
5,5,UTA,Dante Exum,,6,245,4545,1389,441,515,.407,.305,.764,18.6,5.7,1.8,2.1,3.1,.032,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,8,455,13406,4630,1618,1925,.375,.319,.778,29.5,10.2,3.6,4.2,23.9,.085,-0.4,5.4
7,7,LAL,Julius Randle,Kentucky,8,453,13861,7891,4174,1516,.484,.343,.742,30.6,17.4,9.2,3.3,29.1,.101,0.3,8.2
8,8,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,.389,.353,.814,19.9,6.8,2.1,1.5,3.8,.028,-3.0,-1.7
9,9,CHH,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,.459,.308,.691,16.8,4.9,5.1,0.8,9.2,.078,-2.4,-0.6
10,10,PHI,Elfrid Payton,Louisiana,8,454,12895,4914,1931,2778,.450,.288,.629,28.4,10.8,4.3,6.1,16.0,.059,-0.9,3.7
11,11,DEN,Doug McDermott,Creighton,8,480,9892,4314,1129,435,.478,.408,.824,20.6,9.0,2.4,0.9,17.9,.087,-1.8,0.5
12,12,ORL,Dario Šarić,,5,356,8965,4180,2086,699,.441,.357,.838,25.2,11.7,5.9,2.0,16.4,.088,-0.9,2.6
13,13,MIN,Zach LaVine,UCLA,8,418,13134,8010,1602,1591,.458,.384,.828,31.4,19.2,3.8,3.8,19.0,.069,0.1,7.0
