Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,4,183,5683,2915,1949,303,.589,.195,.752,31.1,15.9,10.7,1.7,17.9,.152,0.6,3.7
2,2,SAC,Marvin Bagley III,Duke,4,119,3023,1718,890,115,.500,.314,.663,25.4,14.4,7.5,1.0,5.3,.084,-2.2,-0.1
3,3,ATL,Luka Dončić,,4,204,6796,5227,1706,1569,.456,.330,.736,33.3,25.6,8.4,7.7,21.5,.152,6.1,13.9
4,4,MEM,Jaren Jackson Jr.,Michigan State,4,132,3559,2022,627,162,.471,.366,.774,27.0,15.3,4.8,1.2,7.4,.100,-0.2,1.6
5,5,DAL,Trae Young,Oklahoma,4,210,6951,5055,818,1867,.431,.342,.861,33.1,24.1,3.9,8.9,16.9,.117,2.2,7.3
6,6,ORL,Mo Bamba,Texas,4,162,2593,1083,863,133,.475,.336,.642,16.0,6.7,5.3,0.8,6.5,.120,-0.1,1.2
7,7,CHI,Wendell Carter Jr.,Duke,4,148,3932,1633,1220,247,.507,.259,.750,26.6,11.0,8.2,1.7,9.1,.111,-1.8,0.2
8,8,CLE,Collin Sexton,Alabama,4,214,7067,4301,647,710,.459,.381,.827,33.0,20.1,3.0,3.3,5.6,.038,-2.4,-0.8
9,9,NYK,Kevin Knox,Kentucky,4,183,3792,1545,580,163,.369,.345,.703,20.7,8.4,3.2,0.9,-0.6,-.007,-4.8,-2.7
10,10,PHI,Mikal Bridges,Villanova,4,232,6965,2397,887,462,.499,.377,.825,30.0,10.3,3.8,2.0,16.1,.111,0.7,4.8
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,4,193,5982,3182,839,732,.480,.370,.804,31.0,16.5,4.3,3.8,13.3,.107,1.2,4.9
12,12,LAC,Miles Bridges,Michigan State,4,217,5837,2433,1130,366,.463,.355,.821,26.9,11.2,5.2,1.7,9.5,.078,-0.9,1.6
13,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,.363,.310,.721,14.2,4.5,1.8,1.2,-0.1,-.003,-4.8,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,3,122,3001,1739,740,130,.520,.425,.805,24.6,14.3,6.1,1.1,9.9,.158,2.0,3.0
15,15,WAS,Troy Brown Jr.,Oregon,4,161,3104,1148,642,289,.432,.331,.751,19.3,7.1,4.0,1.8,3.6,.055,-2.2,-0.2
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.2
17,17,MIL,Donte DiVincenzo,Villanova,3,159,3745,1429,763,388,.432,.349,.728,23.6,9.0,4.8,2.4,8.5,.108,0.3,2.2
18,18,SAS,Lonnie Walker,Miami (FL),4,144,2777,1182,330,196,.419,.366,.778,19.3,8.2,2.3,1.4,1.0,.017,-3.5,-1.1
19,19,ATL,Kevin Huerter,Maryland,4,206,6056,2262,722,683,.419,.371,.785,29.4,11.0,3.5,3.3,6.4,.051,-1.6,0.6
