Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,.447,.265,.695,25.6,10.9,3.3,4.6,3.1,.052,-2.2,-0.2
2,2,LAL,Lonzo Ball,UCLA,5,224,7218,2626,1297,1416,.397,.355,.566,32.2,11.7,5.8,6.3,9.7,.064,0.7,4.9
3,3,BOS,Jayson Tatum,Duke,5,296,9724,5774,1870,798,.455,.391,.838,32.9,19.5,6.3,2.7,25.5,.126,2.0,9.7
4,4,PHO,Josh Jackson,Kansas,5,246,6028,3009,1045,495,.418,.299,.672,24.5,12.2,4.2,2.0,-1.6,-.013,-3.8,-2.7
5,5,SAC,De'Aaron Fox,Kentucky,5,269,8460,4892,937,1713,.456,.320,.716,31.4,18.2,3.5,6.4,12.9,.073,-0.1,4.2
6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
7,7,MIN,Lauri Markkanen,Arizona,5,229,6757,3542,1606,285,.437,.363,.846,29.5,15.5,7.0,1.2,12.1,.086,-0.2,3.0
8,8,NYK,Frank Ntilikina,,5,216,4180,1182,425,567,.367,.330,.754,19.4,5.5,2.0,2.6,-0.1,-.002,-4.4,-2.5
9,9,DAL,Dennis Smith Jr.,NC State,5,184,4573,2130,555,798,.401,.318,.648,24.9,11.6,3.0,4.3,-0.8,-.009,-2.4,-0.4
10,10,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,17.5,5.7,4.0,0.9,3.9,.069,-2.6,-0.4
11,11,CHO,Malik Monk,Kentucky,5,240,4311,2179,473,421,.403,.339,.843,18.0,9.1,2.0,1.8,2.2,.024,-2.7,-0.8
12,12,DET,Luke Kennard,Duke,5,233,5220,2209,636,470,.449,.415,.863,22.4,9.5,2.7,2.0,10.3,.094,-0.7,1.7
13,13,DEN,Donovan Mitchell,Louisville,5,284,9563,6639,1175,1212,.438,.361,.831,33.7,23.4,4.1,4.3,22.4,.112,1.8,9.3
14,14,MIA,Bam Adebayo,Kentucky,5,292,7998,3652,2356,1007,.558,.159,.741,27.4,12.5,8.1,3.4,29.1,.175,2.8,9.6
15,15,POR,Justin Jackson,UNC,4,248,4742,1641,630,274,.427,.321,.797,19.1,6.6,2.5,1.1,5.3,.053,-2.8,-1.0
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.6,0.0
17,17,MIL,D.J. Wilson,Michigan,4,142,1749,617,436,103,.411,.329,.598,12.3,4.3,3.1,0.7,2.4,.067,-2.9,-0.4
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,5,246,7031,4069,2087,379,.569,.379,.775,28.6,16.5,8.5,1.5,24.1,.164,1.5,6.2
