Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose,Memphis,13,658,20959,12078,2197,3583,.457,.315,.829,31.9,18.4,3.3,5.4,43.7,.100,1.4,18.0
2,2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9
3,3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
4,4,SEA,Russell Westbrook,UCLA,14,955,33184,22089,7070,8168,.437,.305,.789,34.7,23.1,7.4,8.6,105.0,.152,4.6,55.2
5,5,MEM,Kevin Love,UCLA,14,745,23570,13367,8181,1776,.441,.369,.829,31.6,17.9,11.0,2.4,83.3,.170,3.3,31.4
6,6,NYK,Danilo Gallinari,,13,671,20259,10617,3229,1317,.427,.382,.875,30.2,15.8,4.8,2.0,60.6,.144,1.9,20.0
7,7,LAC,Eric Gordon,Indiana,14,701,22832,11619,1715,1982,.426,.369,.811,32.6,16.6,2.4,2.8,35.3,.074,-0.5,8.9
8,8,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
9,9,CHA,D.J. Augustin,Texas,14,931,22086,9011,1742,3670,.412,.380,.867,23.7,9.7,1.9,3.9,47.1,.102,-0.6,7.9
10,10,NJN,Brook Lopez,Stanford,14,856,25922,14094,5359,1240,.494,.340,.796,30.3,16.5,6.3,1.4,70.9,.131,1.3,21.7
11,11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
12,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
13,13,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
14,14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
