Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,7,414,14203,9501,4793,1242,.527,.397,.835,34.3,22.9,11.6,3.0,56.8,.192,4.8,24.3
2,2,LAL,D'Angelo Russell,Ohio State,7,365,10568,6417,1310,1937,.420,.359,.771,29.0,17.6,3.6,5.3,9.9,.045,0.4,6.3
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.1,-0.1
4,4,NYK,Kristaps Porziņģis,,6,289,8983,5379,2256,420,.440,.360,.808,31.1,18.6,7.8,1.5,21.4,.114,1.2,7.3
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,408,9155,3655,2448,591,.545,.161,.612,22.4,9.0,6.0,1.4,23.2,.122,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,5,300,7176,3296,884,1139,.401,.323,.744,23.9,11.0,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,6,371,7316,2312,1154,532,.375,.298,.761,19.7,6.2,3.1,1.4,4.4,.029,-2.8,-1.5
9,9,CHO,Frank Kaminsky,Wisconsin,7,369,7754,3448,1491,606,.426,.347,.739,21.0,9.3,4.0,1.6,14.3,.089,-0.5,3.0
10,10,MIA,Justise Winslow,Duke,7,272,7416,2376,1425,713,.411,.323,.640,27.3,8.7,5.2,2.6,6.9,.045,-2.2,-0.3
11,11,IND,Myles Turner,Texas,7,397,11358,5051,2642,477,.488,.351,.767,28.6,12.7,6.7,1.2,30.4,.128,0.6,7.3
12,12,UTA,Trey Lyles,Kentucky,7,380,6781,2770,1598,399,.435,.342,.710,17.8,7.3,4.2,1.1,11.2,.080,-1.2,1.4
13,13,PHO,Devin Booker,Kentucky,7,414,13891,9508,1546,1928,.454,.351,.870,33.6,23.0,3.7,4.7,22.5,.078,-0.1,6.5
14,14,OKC,Cameron Payne,Murray State,7,223,3749,1520,454,630,.425,.370,.813,16.8,6.8,2.0,2.8,6.2,.079,-0.8,1.2
15,15,ATL,Kelly Oubre Jr.,Kansas,7,411,10306,4748,1812,412,.432,.328,.762,25.1,11.6,4.4,1.0,14.8,.069,-1.9,0.2
16,16,BOS,Terry Rozier,Louisville,7,407,10070,4674,1561,1192,.409,.376,.815,24.7,11.5,3.8,2.9,18.1,.086,0.3,5.7
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,7,341,7206,2627,1116,1073,.453,.349,.792,21.1,7.7,3.3,3.1,19.3,.128,2.1,7.3
21,21,DAL,Justin Anderson,Virginia,5,226,2964,1182,575,151,.413,.296,.774,13.1,5.2,2.5,0.7,4.6,.074,-1.4,0.5
