Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,.604,.333,.683,31.7,25.7,7.0,3.2,10.6,.189,4.6,4.5
2,2,MEM,Ja Morant,Murray State,3,137,4374,2595,549,1007,.467,.322,.754,31.9,18.9,4.0,7.4,7.8,.086,0.0,2.2
3,3,NYK,RJ Barrett,Duke,3,135,4460,2197,733,378,.429,.374,.685,33.0,16.3,5.4,2.8,4.2,.045,-2.6,-0.6
4,4,LAL,De'Andre Hunter,Virginia,3,92,2865,1186,413,159,.428,.348,.798,31.1,12.9,4.5,1.7,1.7,.029,-3.5,-1.1
5,5,CLE,Darius Garland,Vanderbilt,3,119,3804,1752,255,603,.428,.370,.854,32.0,14.7,2.1,5.1,0.0,.000,-3.5,-1.5
6,6,PHO,Jarrett Culver,Texas Tech,3,98,2011,761,317,134,.405,.286,.503,20.5,7.8,3.2,1.4,-0.2,-.006,-4.7,-1.4
7,7,CHI,Coby White,UNC,2,134,3830,1900,514,503,.406,.357,.849,28.6,14.2,3.8,3.8,3.3,.041,-2.7,-0.7
8,8,ATL,Jaxson Hayes,Texas,3,132,2149,970,548,93,.638,.348,.701,16.3,7.3,4.2,0.7,7.7,.171,-0.1,1.0
9,9,WAS,Rui Hachimura,Gonzaga,2,105,3241,1438,606,169,.473,.313,.797,30.9,13.7,5.8,1.6,3.9,.058,-3.3,-1.1
10,10,ATL,Cam Reddish,Duke,3,91,2475,1014,343,129,.385,.320,.812,27.2,11.1,3.8,1.4,0.4,.009,-3.7,-1.0
11,11,MIN,Cameron Johnson,UNC,3,123,2818,1118,402,160,.422,.365,.824,22.9,9.1,3.3,1.3,5.3,.090,-0.4,1.1
12,12,CHO,P.J. Washington,Kentucky,3,128,3843,1596,761,294,.449,.380,.703,30.0,12.5,5.9,2.3,5.0,.063,-1.2,0.8
13,13,MIA,Tyler Herro,Kentucky,3,116,3364,1715,534,336,.437,.377,.835,29.0,14.8,4.6,2.9,4.2,.060,-1.2,0.7
14,14,BOS,Romeo Langford,Indiana,3,54,721,157,85,29,.369,.264,.730,13.4,2.9,1.6,0.5,0.2,.016,-5.1,-0.6
15,15,DET,Sekou Doumbouya,,2,94,1623,528,261,66,.384,.254,.691,17.3,5.6,2.8,0.7,-0.5,-.016,-6.9,-2.0
16,16,ORL,Chuma Okeke,Auburn,2,47,1168,359,186,104,.411,.342,.762,24.9,7.6,4.0,2.2,1.2,.051,-1.5,0.1
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,101,1850,884,272,211,.392,.335,.723,18.3,8.8,2.7,2.1,0.5,.014,-2.8,-0.4
18,18,IND,Goga Bitadze,,3,104,1071,412,269,62,.436,.228,.740,10.3,4.0,2.6,0.6,2.1,.096,-1.9,0.0
19,19,SAS,Luka Šamanić,,2,36,356,138,78,21,.430,.294,.576,9.9,3.8,2.2,0.6,0.1,.015,-5.0,-0.3
20,20,BOS,Matisse Thybulle,Washington,3,137,2741,593,245,152,.425,.327,.574,20.0,4.3,1.8,1.1,5.4,.095,1.0,2.1
21,21,OKC,Brandon Clarke,Gonzaga,3,122,2782,1331,690,181,.565,.301,.716,22.8,10.9,5.7,1.5,9.2,.159,2.0,2.8
22,22,BOS,Grant Williams,Tennessee,3,139,2331,590,375,143,.434,.333,.684,16.8,4.2,2.7,1.0,3.2,.065,-3.2,-0.7
23,23,UTA,Darius Bazley,,3,123,3033,1171,687,150,.394,.302,.696,24.7,9.5,5.6,1.2,-0.1,-.002,-3.4,-1.0
24,24,PHI,Ty Jerome,Virginia,3,68,1170,468,141,170,.406,.379,.769,17.2,6.9,2.1,2.5,1.2,.049,-1.6,0.1
25,25,POR,Nassir Little,UNC,3,103,1378,449,278,50,.457,.318,.724,13.4,4.4,2.7,0.5,2.1,.073,-3.1,-0.4
