Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
26,26,CLE,Dylan Windler,Belmont,2,35,534,169,111,34,.442,.325,.778,15.3,4.8,3.2,1.0,0.5,.048,-1.6,0.1
27,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,.388,.314,.840,6.7,2.7,1.4,0.4,0.4,.054,-3.3,-0.1
28,28,GSW,Jordan Poole,Michigan,3,114,2429,1199,226,257,.383,.311,.840,21.3,10.5,2.0,2.3,0.7,.014,-4.2,-1.3
29,29,SAS,Keldon Johnson,Kentucky,3,93,2469,1139,506,151,.487,.342,.741,26.5,12.2,5.4,1.6,4.5,.088,-1.7,0.2
30,30,MIL,Kevin Porter Jr.,USC,3,83,2215,1015,291,311,.431,.324,.718,26.7,12.2,3.5,3.7,0.1,.001,-4.0,-1.1
31,31,BRK,Nicolas Claxton,Georgia,3,51,857,304,232,47,.601,.167,.489,16.8,6.0,4.5,0.9,2.5,.141,-0.4,0.4
32,32,PHO,KZ Okpala,Stanford,3,46,489,102,76,20,.388,.250,.529,10.6,2.2,1.7,0.4,0.3,.025,-6.5,-0.6
33,33,PHI,Carsen Edwards,Purdue,2,68,627,244,73,38,.372,.302,.750,9.2,3.6,1.1,0.6,0.4,.030,-4.7,-0.4
34,34,PHI,Bruno Fernando,Maryland,3,90,940,291,276,59,.498,.128,.603,10.4,3.2,3.1,0.7,0.7,.037,-4.8,-0.7
35,35,ATL,Didi Louzada,,1,3,56,8,3,3,.231,.250,,18.7,2.7,1.0,1.0,-0.1,-.099,-9.8,-0.1
36,36,CHO,Cody Martin,Nevada,3,108,1949,521,356,200,.441,.278,.654,18.0,4.8,3.3,1.9,2.8,.068,-1.7,0.1
37,37,DAL,Deividas Sirvydis,,1,20,133,41,29,5,.350,.357,.500,6.7,2.1,1.5,0.3,0.0,-.010,-5.6,-0.1
38,38,CHI,Daniel Gafford,Arkansas,3,102,1485,636,358,51,.686,,.626,14.6,6.2,3.5,0.5,5.7,.184,0.8,1.1
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.4,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.2,-0.2
41,41,GSW,Eric Paschall,Villanova,3,107,2461,1246,424,183,.495,.303,.752,23.0,11.6,4.0,1.7,3.3,.065,-2.8,-0.5
42,42,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,.380,.311,.667,11.2,3.0,1.4,0.5,0.1,.017,-5.5,-0.3
43,43,MIN,Jaylen Nowell,Washington,3,58,916,438,110,82,.414,.301,.847,15.8,7.6,1.9,1.4,0.8,.044,-3.4,-0.3
44,44,MIA,Bol Bol,Oregon,3,41,257,115,46,14,.457,.382,.720,6.3,2.8,1.1,0.3,0.1,.027,-3.5,-0.1
45,45,DET,Isaiah Roby,Nebraska,3,69,1487,559,354,109,.480,.293,.752,21.6,8.1,5.1,1.6,1.3,.041,-3.6,-0.6
46,46,ORL,Talen Horton-Tucker,Iowa State,2,71,1385,619,176,187,.459,.285,.767,19.5,8.7,2.5,2.6,2.2,.077,-1.2,0.3
47,47,SAC,Ignas Brazdeikis,Michigan,3,27,348,115,58,24,.373,.289,.737,12.9,4.3,2.1,0.9,-0.2,-.021,-7.0,-0.4
48,48,LAC,Terance Mann,Florida State,3,114,1802,624,331,176,.488,.382,.782,15.8,5.5,2.9,1.5,4.9,.130,-0.6,0.6
49,49,SAS,Quinndary Weatherspoon,Mississippi State,2,31,199,58,18,19,.404,.182,.778,6.4,1.9,0.6,0.6,-0.1,-.014,-6.0,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,.438,.366,.750,6.3,2.4,1.3,0.7,0.5,.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,2,37,357,139,33,78,.361,.306,.960,9.6,3.8,0.9,2.1,0.1,.019,-2.3,0.0
52,52,CHO,Jalen McDaniels,San Diego State,3,69,1276,474,245,74,.477,.362,.720,18.5,6.9,3.6,1.1,2.0,.076,-2.8,-0.2
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,55,NYK,Kyle Guy,Virginia,2,34,245,91,36,33,.333,.265,.800,7.2,2.7,1.1,1.0,-0.1,-.016,-6.6,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,66,633,140,101,32,.359,.346,.818,9.6,2.1,1.5,0.5,1.0,.077,-2.6,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
