Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,Duke,10,582,19713,13293,2212,3336,.470,.391,.881,33.9,22.8,3.8,5.7,68.7,.167,4.6,32.7
2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
3,3,UTA,Enes Kanter,,11,715,15700,8225,5666,630,.548,.286,.776,22.0,11.5,7.9,0.9,51.4,.157,-0.2,7.3
4,4,CLE,Tristan Thompson,Texas,11,677,18720,6273,5851,694,.518,.257,.609,27.7,9.3,8.6,1.0,46.1,.118,-1.6,1.7
5,5,TOR,Jonas Valančiūnas,,10,629,16176,8164,5844,655,.565,.364,.782,25.7,13.0,9.3,1.0,61.2,.182,1.0,12.2
6,6,WAS,Jan Veselý,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4
7,7,SAC,Bismack Biyombo,,10,702,14213,3604,4315,419,.527,.000,.566,20.2,5.1,6.1,0.6,27.6,.093,-2.7,-2.4
8,8,DET,Brandon Knight,Kentucky,8,446,13137,6269,1377,1769,.411,.353,.806,29.5,14.1,3.1,4.0,11.5,.042,-1.6,1.5
9,9,CHA,Kemba Walker,UConn,11,711,23913,14088,2726,3810,.419,.362,.840,33.6,19.8,3.8,5.4,58.4,.117,2.9,29.4
10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
11,11,GSW,Klay Thompson,Washington State,8,615,20340,11995,2130,1416,.459,.419,.848,33.1,19.5,3.5,2.3,46.8,.110,0.7,14.2
12,12,UTA,Alec Burks,Colorado,11,551,12183,5760,1832,1037,.422,.374,.796,22.1,10.5,3.3,1.9,20.3,.080,-0.9,3.4
13,13,PHO,Markieff Morris,Kansas,11,705,17554,7747,3687,1140,.446,.341,.776,24.9,11.0,5.2,1.6,27.1,.074,-1.4,2.7
14,14,HOU,Marcus Morris,Kansas,11,666,17942,8110,3060,973,.435,.378,.763,26.9,12.2,4.6,1.5,34.0,.091,-0.5,6.7
15,15,IND,Kawhi Leonard,San Diego State,10,576,18025,11085,3689,1672,.493,.384,.858,31.3,19.2,6.4,2.9,83.3,.222,6.8,40.1
16,16,PHI,Nikola Vučević,USC,11,675,20690,11371,7003,1831,.495,.356,.756,30.7,16.8,10.4,2.7,54.9,.127,2.3,22.6
17,17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,.391,.337,.764,24.9,7.2,3.3,1.8,12.9,.054,-1.7,0.9
18,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8
19,19,CHA,Tobias Harris,Tennessee,11,686,21273,11175,4218,1501,.476,.367,.827,31.0,16.3,6.1,2.2,53.6,.121,1.2,17.0
20,20,MIN,Donatas Motiejūnas,,6,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.5,-0.5
21,21,POR,Nolan Smith,Duke,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.0,-0.8
22,22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,0.5,7.5
23,23,HOU,Nikola Mirotić,,5,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,1.6,7.1
24,24,OKC,Reggie Jackson,Boston College,11,634,15873,8005,1873,2682,.428,.348,.855,25.0,12.6,3.0,4.2,33.0,.100,0.3,9.3
25,25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4
26,26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0
27,27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-3.9,-0.1
28,28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1
29,29,SAS,Cory Joseph,Texas,11,670,14703,4688,1718,1969,.443,.332,.775,21.9,7.0,2.6,2.9,26.3,.086,-1.0,3.7
30,30,CHI,Jimmy Butler,Marquette,11,640,21172,11178,3370,2563,.459,.327,.839,33.1,17.5,5.3,4.0,86.3,.196,4.6,35.0
31,31,MIA,Bojan Bogdanović,,8,541,15598,7912,1920,833,.457,.392,.863,28.8,14.6,3.5,1.5,28.6,.088,-1.1,3.7
32,32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2
33,33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9
34,34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1
35,35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1
36,36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0
37,37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1
38,38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2
39,39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-7.0,-1.3
40,40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0
41,41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.1,-1.2
42,42,IND,Dāvis Bertāns,,6,338,6691,2897,940,365,.431,.406,.858,19.8,8.6,2.8,1.1,16.1,.115,0.6,4.5
43,43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1
44,44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8
45,45,NOH,Josh Harrellson,Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.4,0.4
46,46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-5.0,-0.3
47,47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.3,0.0
48,48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-7.7,0.0
49,49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-9.5,-0.6
50,50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-2.1,-0.1
51,51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,1.2,0.1
53,53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.2,-0.1
54,54,CLE,Milan Mačvan,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,.455,.388,.742,21.0,7.9,2.0,1.8,14.8,.057,-1.9,0.2
56,56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,,,
57,57,DAL,Tanguy Ngombo,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok,,,,,,,,,,,,,,,,,,
59,59,SAS,Ádám Hanga,,,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas,Washington,10,528,15230,9531,1292,2604,.435,.363,.872,28.8,18.1,2.4,4.9,45.2,.142,2.2,16.3
