Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2,2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,.438,.347,.791,33.0,17.5,4.6,4.0,24.6,.079,0.9,10.9
3,3,WAS,Otto Porter,Georgetown,9,447,11792,4859,2214,681,.479,.402,.793,26.4,10.9,5.0,1.5,31.5,.128,1.6,10.6
4,4,CHA,Cody Zeller,Indiana,9,474,10737,4105,2860,676,.519,.222,.728,22.7,8.7,6.0,1.4,31.4,.140,-0.5,4.1
5,5,PHO,Alex Len,Maryland,9,535,10221,4162,3196,448,.506,.335,.686,19.1,7.8,6.0,0.8,20.9,.098,-1.9,0.2
6,6,NOH,Nerlens Noel,Kentucky,7,425,9524,3218,2648,468,.549,.200,.653,22.4,7.6,6.2,1.1,26.8,.135,0.9,7.0
7,7,SAC,Ben McLemore,Kansas,9,494,11266,4370,1166,505,.416,.363,.776,22.8,8.8,2.4,1.0,8.2,.035,-3.1,-3.0
8,8,DET,Kentavious Caldwell-Pope,Georgia,9,613,17864,6961,1910,1018,.419,.356,.803,29.1,11.4,3.1,1.7,32.2,.087,-0.7,5.6
9,9,MIN,Trey Burke,Michigan,9,459,9989,4594,847,1469,.411,.346,.809,21.8,10.0,1.8,3.2,13.0,.062,-1.2,2.0
10,10,POR,CJ McCollum,Lehigh,9,535,16719,10137,1798,1753,.454,.398,.824,31.3,18.9,3.4,3.3,37.2,.107,1.2,13.5
11,11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,.402,.255,.706,25.3,10.3,4.4,4.4,6.6,.032,-1.2,1.9
12,12,OKC,Steven Adams,Pitt,9,595,15993,5696,4608,745,.590,.077,.551,26.9,9.6,7.7,1.3,49.7,.149,0.3,9.2
13,13,DAL,Kelly Olynyk,Gonzaga,9,577,12806,5868,2942,1157,.477,.366,.780,22.2,10.2,5.1,2.0,34.0,.128,0.9,9.2
